Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,Cardinality (no change),Decrease by 1,True,True,-0.42622974465589825,3.0,two-sided,0.6986737938041725,0.86163247073978,fdr_bh,0.461,-0.25330146138771836,-0.7098594152310617,0.5626010450581916
condition,Cardinality (no change),Decrease by 2,True,True,-3.1230363743815728,3.0,two-sided,0.052347840839553704,0.24338153838473037,fdr_bh,2.309,-0.2785203764963396,-0.5264280604082758,0.5393077616622537
condition,Cardinality (no change),Decrease by 3,True,True,1.457073725984265,3.0,two-sided,0.2411441969217326,0.389540625796645,fdr_bh,0.826,0.49035542229115375,-0.15521898020939257,1.122024010903833
condition,Cardinality (no change),Increase by 1,True,True,-3.057032613649629,3.0,two-sided,0.05512166919622813,0.24338153838473037,fdr_bh,2.229,-0.9600353990849135,-0.7031602598186872,0.45600568292516575
condition,Cardinality (no change),Increase by 2,True,True,-0.38265559938692106,3.0,two-sided,0.7274766099392161,0.86163247073978,fdr_bh,0.454,-0.1958604009016505,-0.7050428051891384,0.45425326773329905
condition,Cardinality (no change),Increase by 3,True,True,-1.4981179978372114,3.0,two-sided,0.23103609654840476,0.389540625796645,fdr_bh,0.849,-0.9522062506503218,-0.7763046988024125,0.44075827795341405
condition,Decrease by 1,Decrease by 2,True,True,-0.11718636697771122,3.0,two-sided,0.9141175011220619,0.959823376178165,fdr_bh,0.43,-0.06330673379149852,-0.47192552857176157,0.6861474417305017
condition,Decrease by 1,Decrease by 3,True,True,1.7219781712948632,3.0,two-sided,0.18355203248131347,0.389540625796645,fdr_bh,0.988,0.7257281200689034,0.0796840747491232,1.6561572809346574
condition,Decrease by 1,Increase by 1,True,True,-2.465828924496584,3.0,two-sided,0.09039834651672651,0.24338153838473037,fdr_bh,1.592,-0.819886566286685,-0.547894540946994,0.7253431947893769
condition,Decrease by 1,Increase by 2,True,True,0.33821569314949484,3.0,two-sided,0.7574866150346246,0.86163247073978,fdr_bh,0.449,0.08688921523275132,-0.802249678011494,0.5468357711880925
condition,Decrease by 1,Increase by 3,True,True,-1.5243259482717946,3.0,two-sided,0.22482528074299518,0.389540625796645,fdr_bh,0.864,-0.8114409756833653,-0.9565601648333337,0.593396378010788
condition,Decrease by 2,Decrease by 3,True,True,2.4373799141486674,3.0,two-sided,0.09271677652751632,0.24338153838473037,fdr_bh,1.565,0.7124636832567824,0.012715434714377194,1.120480541936077
condition,Decrease by 2,Increase by 1,True,True,-2.4799414698621107,3.0,two-sided,0.08927458687884438,0.24338153838473037,fdr_bh,1.606,-0.656310902121042,-0.48490463425277286,0.6239968673399098
condition,Decrease by 2,Increase by 2,True,True,0.3060556711759486,3.0,two-sided,0.7795722354312296,0.86163247073978,fdr_bh,0.445,0.13842499328376914,-0.7205780513951803,0.4919517296622682
condition,Decrease by 2,Increase by 3,True,True,-1.0046720598805168,3.0,two-sided,0.38907484715178303,0.5447047860124963,fdr_bh,0.615,-0.6509333128177874,-0.6737183576650008,0.5362952258645322
condition,Decrease by 3,Increase by 1,True,True,-6.837531285150023,3.0,two-sided,0.006401806789855522,0.13443794258696595,fdr_bh,9.46,-1.2756479198759467,-2.178000861417917,-0.5105322049368257
condition,Decrease by 3,Increase by 2,True,True,-1.5222487973060712,3.0,two-sided,0.22531076020981228,0.389540625796645,fdr_bh,0.863,-0.6967793216303944,-1.9480612104281212,-0.24722420928947175
condition,Decrease by 3,Increase by 3,True,True,-2.5573055071508843,3.0,two-sided,0.08340972527600475,0.24338153838473037,fdr_bh,1.682,-1.2688031517816862,-1.163237727635047,0.18182444599375341
condition,Increase by 1,Increase by 2,True,True,2.688933861018773,3.0,two-sided,0.07448151573695287,0.24338153838473037,fdr_bh,1.817,0.9493369991033881,-0.5535450785015193,0.8870820446407387
condition,Increase by 1,Increase by 3,True,True,0.0016029772357644449,3.0,two-sided,0.9988216437811437,0.9988216437811437,fdr_bh,0.428,0.0007993425949722477,-0.408912938090697,0.9599682020899187
condition,Increase by 2,Increase by 3,True,True,-1.3686997564553236,3.0,two-sided,0.2645749500775295,0.39686242511629427,fdr_bh,0.778,-0.9384603295475673,-0.7431241669169893,0.6878626913631322
