condition,count,mean,std,min,25%,50%,75%,max,sem
Cardinality (no change),18.0,109.11111111111111,4.909641042214664,92.0,108.0,112.0,112.0,112.0,1.1572134913805932
Decrease by 1 (Correct),15.0,101.86666666666666,7.689200837786039,92.0,96.0,100.0,110.0,112.0,1.985343119359297
Decrease by 1 (Incorrect),12.0,103.66666666666667,7.126561498217691,92.0,102.0,104.0,109.0,112.0,2.0572610996962037
Decrease by 2 (Correct),21.0,106.0952380952381,7.442477825998287,92.0,104.0,108.0,112.0,112.0,1.6240818093175011
Decrease by 2 (Incorrect),12.0,107.0,6.179143806533246,96.0,104.0,110.0,112.0,112.0,1.7837651700316894
Decrease by 3 (Correct),19.0,103.78947368421052,7.598091480894842,92.0,98.0,104.0,110.0,112.0,1.743121733105154
Decrease by 3 (Incorrect),7.0,99.42857142857143,8.772250620700536,92.0,94.0,96.0,104.0,112.0,3.3155990829579443
Increase by 1 (Correct),17.0,101.41176470588235,7.475450015964021,92.0,96.0,104.0,108.0,112.0,1.8130629420496993
Increase by 1 (Incorrect),17.0,101.17647058823529,8.217628110635445,92.0,92.0,100.0,108.0,112.0,1.9930675701291078
Increase by 2 (Correct),14.0,102.57142857142857,7.459782278883992,92.0,97.0,100.0,111.0,112.0,1.9937106762508314
Increase by 2 (Incorrect),10.0,103.2,7.495183638696105,92.0,100.0,104.0,110.0,112.0,2.3701851779508236
Increase by 3 (Correct),12.0,102.0,6.928203230275509,92.0,99.0,100.0,108.0,112.0,2.0000000000000004
Increase by 3 (Incorrect),12.0,101.0,6.849021164304496,92.0,95.0,102.0,105.0,112.0,1.9771421064483223
