Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,Cardinality (no change),Decrease by 1,True,True,-1.1008387563159416,23.0,two-sided,0.2823549044293423,0.48714139689305497,fdr_bh,0.369,-0.2033340245867778,-0.6522679033923084,0.2028523630499603
condition,Cardinality (no change),Decrease by 2,True,True,0.469363591707511,23.0,two-sided,0.6432288602647407,0.900520404370637,fdr_bh,0.237,0.0774695282688916,-0.3274224303642376,0.5190393142848075
condition,Cardinality (no change),Decrease by 3,True,True,1.4974457717305394,23.0,two-sided,0.14787633873305617,0.36715713592857674,fdr_bh,0.573,0.2699105834730642,-0.1263486648772792,0.7376783412486119
condition,Cardinality (no change),Increase by 1,True,True,-1.2956670533331978,23.0,two-sided,0.2079433022083053,0.415615841442386,fdr_bh,0.451,-0.2327187131745884,-0.6940605555142854,0.16510669598065664
condition,Cardinality (no change),Increase by 2,True,True,-1.590728895321571,23.0,two-sided,0.1253230608578809,0.36715713592857674,fdr_bh,0.646,-0.25448403999123886,-0.7579564270003983,0.10854407489389772
condition,Cardinality (no change),Increase by 3,True,True,-1.0373641657772605,23.0,two-sided,0.3103499749491728,0.48714139689305497,fdr_bh,0.348,-0.22599918970728466,-0.6387212148523147,0.21521906758527667
condition,Decrease by 1,Decrease by 2,True,True,1.4616992087504526,23.0,two-sided,0.15735305825510432,0.36715713592857674,fdr_bh,0.548,0.2827465249647828,-0.13319038541722672,0.7299265885619802
condition,Decrease by 1,Decrease by 3,True,True,2.546296937622159,23.0,two-sided,0.01804666793122365,0.14401874079730997,fdr_bh,2.962,0.433378080460301,0.06988203344464411,0.9696393383529718
condition,Decrease by 1,Increase by 1,True,True,0.053571750731814076,23.0,two-sided,0.9577389698168649,0.963291801783519,fdr_bh,0.215,0.011013593277247822,-0.41134030209518274,0.43321087774860206
condition,Decrease by 1,Increase by 2,True,True,-0.19052962971748158,23.0,two-sided,0.850565854670192,0.963291801783519,fdr_bh,0.218,-0.030216452555938474,-0.46131430909047016,0.3835309134755955
condition,Decrease by 1,Increase by 3,True,True,-0.04652705771466824,23.0,two-sided,0.963291801783519,0.963291801783519,fdr_bh,0.215,-0.009125450244114666,-0.4317697841683046,0.4127751923959778
condition,Decrease by 2,Decrease by 3,True,True,1.0062586395848925,23.0,two-sided,0.32476093126203665,0.48714139689305497,fdr_bh,0.338,0.21173392497622337,-0.22129184120029233,0.6320952105753171
condition,Decrease by 2,Increase by 1,True,True,-1.5221761054779597,23.0,two-sided,0.14159616963557298,0.36715713592857674,fdr_bh,0.591,-0.3323559850929797,-0.7430473356738945,0.12162154282757659
condition,Decrease by 2,Increase by 2,True,True,-1.6137912634999054,23.0,two-sided,0.12021015498739135,0.36715713592857674,fdr_bh,0.666,-0.3444188695417326,-0.7629807249107714,0.10415320042141757
condition,Decrease by 2,Increase by 3,True,True,-1.26737471195623,23.0,two-sided,0.21770353599363076,0.415615841442386,fdr_bh,0.437,-0.3120455346169787,-0.6879717664295368,0.17056820689627533
condition,Decrease by 3,Increase by 1,True,True,-2.5762596619613483,23.0,two-sided,0.016882219643076585,0.14401874079730997,fdr_bh,3.13,-0.4823880757151582,-0.9763886844492777,-0.07536491833745229
condition,Decrease by 3,Increase by 2,True,True,-2.354929285135914,23.0,two-sided,0.027432141104249515,0.14401874079730997,fdr_bh,2.103,-0.48843239026665786,-0.9266874367321392,-0.034708418087884774
condition,Decrease by 3,Increase by 3,True,True,-2.411589841871279,23.0,two-sided,0.02426621227065293,0.14401874079730997,fdr_bh,2.324,-0.4610677244365427,-0.9393765501561395,-0.045150880087827805
condition,Increase by 1,Increase by 2,True,True,-0.23637473026962783,23.0,two-sided,0.815234300617832,0.963291801783519,fdr_bh,0.22,-0.04932254115748193,-0.4707584463014761,0.37425886676004383
condition,Increase by 1,Increase by 3,True,True,-0.1042719876307152,23.0,two-sided,0.9178574582686843,0.963291801783519,fdr_bh,0.216,-0.022954989363608697,-0.44359521827178716,0.40102635757827865
condition,Increase by 2,Increase by 3,True,True,0.09269612308211857,23.0,two-sided,0.9269476835315358,0.963291801783519,fdr_bh,0.216,0.022304126766985094,-0.4033792429706941,0.4412222767515968
