Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,"Cardinality (no change, no 1)",Decrease by 1 (no 1),True,True,1.2961476810312005,23.0,two-sided,0.20778046497771033,0.5454237205664897,fdr_bh,0.451,0.24054006807562273,-0.16501397414747315,0.6941640491171612
condition,"Cardinality (no change, no 1)",Decrease by 2 (no 1),True,True,-0.8886528123502633,23.0,two-sided,0.38338967998012186,0.7319257526893235,fdr_bh,0.306,-0.12191578066326061,-0.6071178611941684,0.24432686973626938
condition,"Cardinality (no change, no 1)",Decrease by 3 (no 1),True,True,-1.6345427745952834,23.0,two-sided,0.11575950154120598,0.40515825539422096,fdr_bh,0.684,-0.2811544071245492,-0.7675052812214549,0.10020598780287104
condition,"Cardinality (no change, no 1)",Increase by 1 (no 1),True,True,-1.448054767261759,23.0,two-sided,0.16109735689521423,0.4832920706856427,fdr_bh,0.539,-0.26529383520945055,-0.726970524250783,0.13580464101812284
condition,"Cardinality (no change, no 1)",Increase by 2 (no 1),True,True,-0.906496908915648,23.0,two-sided,0.37407237365460944,0.7319257526893235,fdr_bh,0.311,-0.1655041601496385,-0.6109000029910167,0.2408241896154272
condition,"Cardinality (no change, no 1)",Increase by 3 (no 1),True,True,-0.6147178575893434,23.0,two-sided,0.5447751375569723,0.7818112998178491,fdr_bh,0.255,-0.13762917003396558,-0.5494005893062894,0.29844307482783167
condition,Decrease by 1 (no 1),Decrease by 2 (no 1),True,True,-2.165086320262164,23.0,two-sided,0.041000490169683185,0.21525257339083673,fdr_bh,1.522,-0.35675277582322645,-0.8843478822329027,0.0004550932791781981
condition,Decrease by 1 (no 1),Decrease by 3 (no 1),True,True,-2.7844286923981776,23.0,two-sided,0.010540116378858176,0.13204021680024264,fdr_bh,4.633,-0.5274748975734498,-1.0234584685003532,-0.11327978508973247
condition,Decrease by 1 (no 1),Increase by 1 (no 1),True,True,-2.5263521692178608,23.0,two-sided,0.018862888114320377,0.13204021680024264,fdr_bh,2.856,-0.5004406624199277,-0.9651502366965856,-0.06622871749627796
condition,Decrease by 1 (no 1),Increase by 2 (no 1),True,True,-2.605313053319595,23.0,two-sided,0.01582052702343244,0.13204021680024264,fdr_bh,3.303,-0.41860293090195677,-0.9829394064456638,-0.08067519369524817
condition,Decrease by 1 (no 1),Increase by 3 (no 1),True,True,-1.8058771782191338,23.0,two-sided,0.084043244630183,0.35298162744676864,fdr_bh,0.87,-0.3455707507400847,-0.804994986319979,0.06774871552431266
condition,Decrease by 2 (no 1),Decrease by 3 (no 1),True,True,-0.9143821402087506,23.0,two-sided,0.37000305827989877,0.7319257526893235,fdr_bh,0.313,-0.14872283240021655,-0.612572185673482,0.23927724010257131
condition,Decrease by 2 (no 1),Increase by 1 (no 1),True,True,-0.6624434558643286,23.0,two-sided,0.5142709576588393,0.7818112998178491,fdr_bh,0.262,-0.13964970238855975,-0.5594095105108098,0.28896810212522417
condition,Decrease by 2 (no 1),Increase by 2 (no 1),True,True,-0.15595265148050946,23.0,two-sided,0.877431059621651,0.9918786588701843,fdr_bh,0.217,-0.032565998045570234,-0.45420363332945096,0.3905362299692264
condition,Decrease by 2 (no 1),Increase by 3 (no 1),True,True,-0.12457462577489778,23.0,two-sided,0.9019427033488642,0.9918786588701843,fdr_bh,0.216,-0.029732592403227162,-0.44775991072418153,0.3969025327164041
condition,Decrease by 3 (no 1),Increase by 1 (no 1),True,True,0.010289986313266872,23.0,two-sided,0.9918786588701843,0.9918786588701843,fdr_bh,0.215,0.002101958584019044,-0.4201629975810746,0.42436386690236233
condition,Decrease by 3 (no 1),Increase by 2 (no 1),True,True,0.7672261611801505,23.0,two-sided,0.4507516678221035,0.7818112998178491,fdr_bh,0.28,0.12784615347101866,-0.268234850667617,0.5814536193685655
condition,Decrease by 3 (no 1),Increase by 3 (no 1),True,True,0.5212451335535802,23.0,two-sided,0.6071790001837178,0.7818112998178491,fdr_bh,0.243,0.098642473632899,-0.31705763951891297,0.5298550742047701
condition,Increase by 1 (no 1),Increase by 2 (no 1),True,True,0.5436948555011372,23.0,two-sided,0.591883104408709,0.7818112998178491,fdr_bh,0.246,0.11848775120146057,-0.3125799592162564,0.5345424545085927
condition,Increase by 1 (no 1),Increase by 3 (no 1),True,True,0.48409671498396845,23.0,two-sided,0.6328948617573065,0.7818112998178491,fdr_bh,0.239,0.09325133995828891,-0.32447668709278205,0.5221083434041591
condition,Increase by 2 (no 1),Increase by 3 (no 1),True,True,-0.017542473538774327,23.0,two-sided,0.9861551408896936,0.9918786588701843,fdr_bh,0.215,-0.003308388202744145,-0.42584516252809007,0.4186834776953779
