Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,"Cardinality (no change, no 1)",Decrease by 1 (no 1),True,True,1.8409231475983612,23.0,two-sided,0.07856980018312755,0.27356226722627897,fdr_bh,0.916,0.3401612648062545,-0.06113863479293824,0.8126923626753231
condition,"Cardinality (no change, no 1)",Decrease by 2 (no 1),True,True,0.45115387952321706,23.0,two-sided,0.6561036143105072,0.8104809353247442,fdr_bh,0.236,0.08966912707831698,-0.33106590407326425,0.5152487041247572
condition,"Cardinality (no change, no 1)",Decrease by 3 (no 1),True,True,1.6057631632102132,23.0,two-sided,0.12196987895113431,0.3201709322467276,fdr_bh,0.659,0.32773421178463674,-0.10568119002014731,0.761231256290562
condition,"Cardinality (no change, no 1)",Increase by 1 (no 1),True,True,2.8919952219248852,23.0,two-sided,0.008223215407585175,0.11183593755917214,fdr_bh,5.709,0.5363299521874014,0.13275148519067947,1.047900620189815
condition,"Cardinality (no change, no 1)",Increase by 2 (no 1),True,True,2.5045413298101655,23.0,two-sided,0.01979477720760589,0.13856344045324123,fdr_bh,2.745,0.533007277240521,0.06223026818251487,0.9602444481085755
condition,"Cardinality (no change, no 1)",Increase by 3 (no 1),True,True,2.7798622618451825,23.0,two-sided,0.010651041672302108,0.11183593755917214,fdr_bh,4.593,0.5609232889202405,0.11245137961250712,1.0224226365107962
condition,Decrease by 1 (no 1),Decrease by 2 (no 1),True,True,-1.18947254761736,23.0,two-sided,0.24638866077423616,0.5472998722773741,fdr_bh,0.403,-0.24401259814415338,-0.6712411360003525,0.1856410018818693
condition,Decrease by 1 (no 1),Decrease by 3 (no 1),True,True,0.0,23.0,two-sided,1.0,1.0,fdr_bh,0.215,0.0,-0.42226296650431666,0.42226296650431666
condition,Decrease by 1 (no 1),Increase by 1 (no 1),True,True,1.0410425704589863,23.0,two-sided,0.3086760000587759,0.5472998722773741,fdr_bh,0.349,0.19903441317256082,-0.21450147240245887,0.6395053220924457
condition,Decrease by 1 (no 1),Increase by 2 (no 1),True,True,1.0,23.0,two-sided,0.3277158061428588,0.5472998722773741,fdr_bh,0.336,0.1978266078562264,-0.22251472018320345,0.6307630106470665
condition,Decrease by 1 (no 1),Increase by 3 (no 1),True,True,1.0269206997288742,23.0,two-sided,0.315137385619122,0.5472998722773741,fdr_bh,0.344,0.23501362578074372,-0.21725704058151746,0.6364956606877843
condition,Decrease by 2 (no 1),Decrease by 3 (no 1),True,True,0.8622767767064945,23.0,two-sided,0.39743698977231634,0.5472998722773741,fdr_bh,0.3,0.23546266106150301,-0.24950932101383924,0.6015323410109558
condition,Decrease by 2 (no 1),Increase by 1 (no 1),True,True,1.7629827305189658,23.0,two-sided,0.09118742240875966,0.27356226722627897,fdr_bh,0.818,0.43746953867756505,-0.075852439509145,0.7955871253608261
condition,Decrease by 2 (no 1),Increase by 2 (no 1),True,True,1.807497013703053,23.0,two-sided,0.08378318551101915,0.27356226722627897,fdr_bh,0.872,0.4348719726841612,-0.06744298004138771,0.8053505459041967
condition,Decrease by 2 (no 1),Increase by 3 (no 1),True,True,1.890113457754208,23.0,two-sided,0.0714102872262082,0.27356226722627897,fdr_bh,0.985,0.465232335663748,-0.05187721018918057,0.8235127981000769
condition,Decrease by 3 (no 1),Increase by 1 (no 1),True,True,0.8265399668689247,23.0,two-sided,0.4169903788779993,0.5472998722773741,fdr_bh,0.292,0.1921009658464886,-0.25654055093092853,0.5939740794052251
condition,Decrease by 3 (no 1),Increase by 2 (no 1),True,True,0.841484272622986,23.0,two-sided,0.4087409768045247,0.5472998722773741,fdr_bh,0.295,0.191014361990104,-0.2535989165789091,0.5971334323294704
condition,Decrease by 3 (no 1),Increase by 3 (no 1),True,True,0.9102309558425814,23.0,two-sided,0.3721416839981625,0.5472998722773741,fdr_bh,0.312,0.22734632868909974,-0.2400915660748361,0.6116917977248579
condition,Increase by 1 (no 1),Increase by 2 (no 1),True,True,0.0,23.0,two-sided,1.0,1.0,fdr_bh,0.215,0.0,-0.42226296650431666,0.42226296650431666
condition,Increase by 1 (no 1),Increase by 3 (no 1),True,True,0.2830889839296112,23.0,two-sided,0.7796409410322125,0.9095810978709146,fdr_bh,0.223,0.04217592881471997,-0.36483002147429766,0.4804006152127134
condition,Increase by 2 (no 1),Increase by 3 (no 1),True,True,0.18681907211421045,23.0,two-sided,0.8534406042593459,0.943276457339277,fdr_bh,0.218,0.04194301808526191,-0.38428217139003373,0.4605507382067052
