Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,3 to 2,4 to 2,True,True,0.8265784794660418,6.0,two-sided,0.440101390118099,0.5501267376476238,fdr_bh,0.464,0.30042960357895304,-0.4195180107181317,0.7427643563444872
condition,3 to 2,5 to 2,True,True,1.3777671231738389,6.0,two-sided,0.21745639889708807,0.3624273314951468,fdr_bh,0.706,0.5710627471995714,-0.24072532683063036,1.011989965629589
condition,3 to 2,Cardinality2,True,True,-0.6826833807552244,6.0,two-sided,0.5202797825435606,0.5780886472706228,fdr_bh,0.427,-0.2702814828536496,-0.8029953616474618,0.47619781126778815
condition,3 to 2,increasing 1 to 2,True,True,-0.9627199550969062,6.0,two-sided,0.3728663504555648,0.5326662149365212,fdr_bh,0.508,-0.3789887069211728,-0.9174788239671554,0.2673951657211429
condition,4 to 2,5 to 2,True,True,1.6801357824280763,6.0,two-sided,0.14393144148060077,0.28786288296120155,fdr_bh,0.931,0.32747546427412816,-0.1592283402946124,1.2873139648035867
condition,4 to 2,Cardinality2,True,True,-2.833372075182104,6.0,two-sided,0.02982536541401669,0.14752871111130075,fdr_bh,2.917,-0.5595759860117164,-1.0008787028600108,0.30748849596021594
condition,4 to 2,increasing 1 to 2,True,True,-1.8953399333934993,6.0,two-sided,0.10685802916648242,0.26714507291620604,fdr_bh,1.145,-0.7049197861147345,-0.9624428023150171,0.23037497780055977
condition,5 to 2,Cardinality2,True,True,-3.6686794797088718,6.0,two-sided,0.010470684670188989,0.10470684670188989,fdr_bh,6.481,-0.7824920178691239,-2.857126244789647,-0.47960593374286997
condition,5 to 2,increasing 1 to 2,True,True,-2.5370173614796374,6.0,two-sided,0.04425861333339023,0.14752871111130075,fdr_bh,2.172,-0.9122624964937472,-1.8596142459067733,-0.19805689557767092
condition,Cardinality2,increasing 1 to 2,True,True,-0.305097945939828,6.0,two-sided,0.7705983327814694,0.7705983327814694,fdr_bh,0.367,-0.07608441744080092,-0.7019343240171303,0.5094490280860167
