Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,1 to 2,3 to 2,True,True,-1.265571534600949,23.0,two-sided,0.21833731019545663,0.8100025337864776,fdr_bh,0.437,-0.22541740866685678,-0.6875839320404846,0.17091651657991963
condition,1 to 2,4 to 2,True,True,-0.9797618190339569,23.0,two-sided,0.3373978331135302,0.8100025337864776,fdr_bh,0.33,-0.22984743194097998,-0.6264574445570886,0.226471356874711
condition,1 to 2,5 to 2,True,True,0.08975545683424291,23.0,two-sided,0.9292585836124277,1.0,fdr_bh,0.215,0.0227385099456249,-0.40397714419692965,0.4406196560093124
condition,1 to 2,Cardinality2,True,True,-0.4625940997021802,23.0,two-sided,0.6480020270291821,0.8100025337864776,fdr_bh,0.237,-0.11369254972812061,-0.5176298100056754,0.32877655962359054
condition,3 to 2,4 to 2,True,True,0.0,23.0,two-sided,1.0,1.0,fdr_bh,0.215,0.0,-0.42226296650431666,0.42226296650431666
condition,3 to 2,5 to 2,True,True,1.0880034903739646,23.0,two-sided,0.2878637328228618,0.8100025337864776,fdr_bh,0.364,0.2627610436902217,-0.20535028918865414,0.6495258541525412
condition,3 to 2,Cardinality2,True,True,0.510425961759096,23.0,two-sided,0.6146171932752584,0.8100025337864776,fdr_bh,0.242,0.11943683804100949,-0.31921713314119915,0.5275976594377232
condition,4 to 2,5 to 2,True,True,1.3906767891559675,23.0,two-sided,0.17763372574410025,0.8100025337864776,fdr_bh,0.503,0.2685811267927408,-0.14681501235522953,0.7145564341159273
condition,4 to 2,Cardinality2,True,True,0.5104259617590962,23.0,two-sided,0.6146171932752584,0.8100025337864776,fdr_bh,0.242,0.12208233036033635,-0.3192171331411991,0.5275976594377232
condition,5 to 2,Cardinality2,True,True,-0.7313574508612273,23.0,two-sided,0.47194699695083786,0.8100025337864776,fdr_bh,0.274,-0.14473139495244838,-0.5738968878037571,0.2753214587716523
