Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
1 to 2 - 2 to 2,-6.22904407387688,2.8914195957952127,-2.15432034940046,0.0312150581070052,0.2482967665023216
1 to 2 - 3 to 2,-1.6941087709952556,2.9372224245391165,-0.5767723808867081,0.5640932294439291,0.9274877962208559
1 to 2 - 4 to 2,-6.972801207370884,2.981852304683398,-2.338412669339513,0.019365851140567658,0.17762456874583746
1 to 2 - 5 to 2,-2.0114091037466753,2.8547992212990625,-0.7045711266627687,0.48107717216131096,0.9274877962208559
2 to 2 - 3 to 2,4.534935302881625,2.7529306182544895,1.647311876591,0.09949395797864402,0.46676360139386175
2 to 2 - 4 to 2,-0.7437571334940039,2.7658615506957345,-0.2689061328130891,0.7880019174466582,0.9550568129937065
2 to 2 - 5 to 2,4.217634970130204,2.6915023879214215,1.5670188475617055,0.11711028620648012,0.46676360139386175
3 to 2 - 4 to 2,-5.2786924363756285,2.779763212887198,-1.8989719742685998,0.05756816094188988,0.37770028949890755
3 to 2 - 5 to 2,-0.31730033275141967,2.571245089034872,-0.1234033792050993,0.9017876813093932,0.9550568129937065
4 to 2 - 5 to 2,4.961392103624208,2.7007693627705986,1.8370291710264877,0.06620558911177521,0.3809027266188355
