Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
1 to 2 - 2 to 2,-1.9568776824161873,4.737529476467,-0.4130586821964269,0.679563620260369,0.9968842436403473
1 to 2 - 3 to 2,-1.9972413767956867,4.701516404650968,-0.424807914063624,0.6709767079794888,0.9968842436403473
1 to 2 - 4 to 2,-6.060765430430518,4.591278819756551,-1.3200604163595286,0.1868148473346023,0.8735571122593013
1 to 2 - 5 to 2,-2.3115056082446266,4.6328965586711135,-0.49893313588414157,0.6178264894323773,0.9968842436403473
2 to 2 - 3 to 2,-0.04036369437949938,4.769197593606449,-0.00846341414614707,0.9932472531370491,0.999792707337886
2 to 2 - 4 to 2,-4.103887748014331,4.580693355701295,-0.8959097301081036,0.37030097702006115,0.9844332777991728
2 to 2 - 5 to 2,-0.35462792582843927,4.776607182724211,-0.07424263965247957,0.9408173179123369,0.999792707337886
3 to 2 - 4 to 2,-4.063524053634831,4.630264498053317,-0.8776008487945433,0.38016036850392787,0.9844332777991728
3 to 2 - 5 to 2,-0.3142642314489399,4.59611423895789,-0.06837607054784506,0.9454862701763349,0.999792707337886
4 to 2 - 5 to 2,3.7492598221858913,4.601077934020987,0.8148655328055545,0.4151492843521505,0.9844332777991728
