Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,1 to 2,2 to 2,True,True,-1.0839995674058613,18.0,two-sided,0.292671736963517,0.4181024813764529,fdr_bh,0.397,-0.18800206221182109,-0.585026196996223,0.35411670453795774
condition,1 to 2,3 to 2,True,True,0.7901822317094597,18.0,two-sided,0.4397080885321908,0.48856454281354533,fdr_bh,0.313,0.12821643104861538,-0.29547324352999804,0.6477892458138347
condition,1 to 2,4 to 2,True,True,1.1530089839248172,18.0,two-sided,0.26398890424173926,0.4181024813764529,fdr_bh,0.424,0.2551858577984208,-0.23527591093252892,0.6614855457891016
condition,1 to 2,5 to 2,True,True,2.6907710421121993,18.0,two-sided,0.01494153765037992,0.07470768825189959,fdr_bh,3.733,0.4961730057149349,0.055219085606173224,1.001877092241533
condition,2 to 2,3 to 2,True,True,1.422322017144309,18.0,two-sided,0.17203117867301262,0.34406235734602525,fdr_bh,0.565,0.2897951813060323,-0.12390688858607612,0.8131205271881592
condition,2 to 2,4 to 2,True,True,1.741042288839841,18.0,two-sided,0.09874124003473723,0.2713509451305315,fdr_bh,0.842,0.3960851825599839,-0.24672205007753328,0.6489499497472841
condition,2 to 2,5 to 2,True,True,3.037835545374058,18.0,two-sided,0.007077708903190321,0.0707770890319032,fdr_bh,6.943,0.6265131595094695,0.0292440526928201,0.9696715306583288
condition,3 to 2,4 to 2,True,True,0.6091114955230846,18.0,two-sided,0.5500618439136202,0.5500618439136202,fdr_bh,0.28,0.12952622099401134,-0.333864869907076,0.555606333122966
condition,3 to 2,5 to 2,True,True,1.688621208482139,18.0,two-sided,0.1085403780522126,0.2713509451305315,fdr_bh,0.785,0.3488819225730408,0.004650860448045413,0.9395009857540371
condition,4 to 2,5 to 2,True,True,0.9152741073262534,18.0,two-sided,0.3721470931899352,0.465183866487419,fdr_bh,0.344,0.2003721576235495,-0.13362586258611864,0.7294339465541192
