Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
1 to 3 - 2 to 3,-0.6486946403996655,0.44588405770982614,-1.4548504912499587,0.14571065648729697,0.8231297137772633
1 to 3 - 4 to 3,0.1394623134158709,0.42958130172979125,0.324647075778902,0.7454481940559776,0.9972735078477062
1 to 3 - 5 to 3,-0.16896348205408554,0.42800450324065836,-0.3947703371688142,0.6930123881170813,0.9972735078477062
1 to 3 - 6 to 3,0.1574956825894801,0.4298335227767574,0.36641088757350976,0.7140584966973447,0.9972735078477062
1 to 3 - Cardinality3,-0.568364442217788,0.4455008318021524,-1.2757876117057387,0.2020306079632861,0.8953203328605477
2 to 3 - 4 to 3,0.7881569538155364,0.44291091089782414,1.7794931992482743,0.07515893887215208,0.665081261618068
2 to 3 - 5 to 3,0.47973115834558,0.4346398600782759,1.1037440474492686,0.2697041825208699,0.9409133564454053
2 to 3 - 6 to 3,0.8061903229891456,0.44109882215936425,1.8276864105927668,0.06759662879768369,0.6500084764199188
2 to 3 - Cardinality3,0.08033019818187748,0.43739191541188854,0.18365725417268208,0.8542823446345944,0.9972735078477062
4 to 3 - 5 to 3,-0.3084257954699564,0.4282693207768888,-0.7201678488444283,0.47142165684676396,0.9839637193297526
4 to 3 - 6 to 3,0.018033369173609204,0.43276492120106447,0.041670126875257577,0.966761668567989,0.9972735078477062
4 to 3 - Cardinality3,-0.7078267556336589,0.440488285558784,-1.6069139153967311,0.10807325340862439,0.7465161761317254
5 to 3 - 6 to 3,0.3264591646435656,0.4282757097428706,0.7622640210895129,0.4459024427906453,0.9839637193297526
5 to 3 - Cardinality3,-0.3994009601637025,0.4309647273997544,-0.9267602074385686,0.35405104969564416,0.9696900252493662
6 to 3 - Cardinality3,-0.7258601248072681,0.440311709089518,-1.6485142453018355,0.09924718992575166,0.7430354973214192
