Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
1 to 3 - 2 to 3,6.7969169659272515,6.549054465846573,1.037847066530487,0.29934126051102683,0.9714855214218161
1 to 3 - 4 to 3,3.2835107381835678,6.083496346218052,0.539740726601215,0.5893758492173493,0.9990813239774751
1 to 3 - 5 to 3,1.7279181161549542,6.019460190923438,0.28705532744621015,0.7740699568116969,0.9990813239774751
1 to 3 - 6 to 3,3.1600052913150103,6.081456232418714,0.5196132588227499,0.6033331550025878,0.9990813239774751
1 to 3 - Cardinality3,15.403353969857825,6.646049580498873,2.317670637765781,0.020467227966019186,0.266695145285502
2 to 3 - 4 to 3,-3.5134062277436837,6.632809919153232,-0.529701027252145,0.5963192356130123,0.9990813239774751
2 to 3 - 5 to 3,-5.0689988497722975,6.552602027516315,-0.7735856425410961,0.439175865208393,0.9945116695129896
2 to 3 - 6 to 3,-3.636911674612241,6.620140082386408,-0.5493708032385348,0.5827510065548629,0.9990813239774751
2 to 3 - Cardinality3,8.606437003930573,7.228501286551134,1.1906253679366612,0.23380068826069023,0.9465731790931478
4 to 3 - 5 to 3,-1.5555926220286136,6.099422688544229,-0.25503932117219646,0.798692729262785,0.9990813239774751
4 to 3 - 6 to 3,-0.12350544686855747,6.167646567489952,-0.02002472831688546,0.9840236461744925,0.9990813239774751
4 to 3 - Cardinality3,12.119843231674258,6.691001373337619,1.8113646307067808,0.07008442719209929,0.5955296477671205
5 to 3 - 6 to 3,1.4320871751600561,6.084854356772258,0.23535274489621705,0.8139349600823182,0.9990813239774751
5 to 3 - Cardinality3,13.67543585370287,6.59090195576815,2.0748959619607996,0.03799617804550848,0.41859981669839946
6 to 3 - Cardinality3,12.243348678542816,6.690605004523144,1.8299314740992438,0.06726018633271935,0.5955296477671205
