Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,1 to 3,2 to 3,True,True,2.5479173608501893,2.0,two-sided,0.12565397459169347,0.8119367177218667,fdr_bh,1.443,1.8985621140740874,-0.9343989713626522,1.6210631354855705
condition,1 to 3,4 to 3,True,True,1.1615518749289033,2.0,two-sided,0.36530088891076984,0.8119367177218667,fdr_bh,0.722,0.8026124533117576,-0.5209620630635579,1.774934316924723
condition,1 to 3,5 to 3,True,True,0.9837003527845415,2.0,two-sided,0.4289747817169033,0.8119367177218667,fdr_bh,0.655,0.9574155182165907,-0.8455337157619012,0.5909633418550697
condition,1 to 3,6 to 3,True,True,0.6898050946002322,2.0,two-sided,0.5616046961162193,0.8119367177218667,fdr_bh,0.562,0.15189732000074763,-0.4405360947935761,1.3084551965020155
condition,1 to 3,Cardinality3,True,True,0.6670383559813536,2.0,two-sided,0.5734040878143758,0.8119367177218667,fdr_bh,0.557,0.25205305370966163,-1.2118410280758596,0.6713229483512645
condition,2 to 3,4 to 3,True,True,-1.8582028357607066,2.0,two-sided,0.20424634170218134,0.8119367177218667,fdr_bh,1.052,-1.1486821404374696,-1.2537927873391592,0.8648317679046251
condition,2 to 3,5 to 3,True,True,-3.142628041774083,2.0,two-sided,0.08808185502189476,0.8119367177218667,fdr_bh,1.808,-2.1756374600935353,-0.49082903785247267,0.9593833696798821
condition,2 to 3,6 to 3,True,True,-1.4551274078261098,2.0,two-sided,0.2828835024859145,0.8119367177218667,fdr_bh,0.851,-1.1323835052226905,-0.7591496820521305,0.7782213560199492
condition,2 to 3,Cardinality3,True,True,-0.8405202396472733,2.0,two-sided,0.4890878578719381,0.8119367177218667,fdr_bh,0.606,-0.654894388291804,-1.3631151250823974,0.5597421764898112
condition,4 to 3,5 to 3,True,True,0.014401748240545804,2.0,two-sided,0.9898169541617612,0.9898169541617612,fdr_bh,0.467,0.008868797594130394,-0.5938056573499524,0.8424246721696385
condition,4 to 3,6 to 3,True,True,-0.601930464182152,2.0,two-sided,0.6083691146899858,0.8119367177218667,fdr_bh,0.54,-0.453161422091697,-0.7517822652341196,0.7856641229149509
condition,4 to 3,Cardinality3,True,True,-0.27681283423026465,2.0,two-sided,0.8079089427467839,0.8941039465097232,fdr_bh,0.483,-0.1996900281128914,-1.115658756063477,0.5855017191125732
condition,5 to 3,6 to 3,True,True,-0.529171441661254,2.0,two-sided,0.6495493741774934,0.8119367177218667,fdr_bh,0.524,-0.5021164991682715,-0.6123683015365354,0.596239253053351
condition,5 to 3,Cardinality3,True,True,-0.23732950606701536,2.0,two-sided,0.8344970167424084,0.8941039465097232,fdr_bh,0.479,-0.21355747642498016,-0.836261473908896,0.5159455050691564
condition,6 to 3,Cardinality3,True,True,0.5718658990237844,2.0,two-sided,0.6251192396028229,0.8119367177218667,fdr_bh,0.533,0.12233421751442405,-0.9526497991649105,0.49654660306278714
