Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,1 to 3,2 to 3,True,True,0.38820656931421155,9.0,two-sided,0.7068861227679462,0.8156378339630148,fdr_bh,0.329,0.09081692546334598,-0.52051239092099,0.6352021829223983
condition,1 to 3,4 to 3,True,True,1.3135776318801629,9.0,two-sided,0.2214859901915054,0.7664349374734684,fdr_bh,0.61,0.29959413457070494,-0.24549366142631968,0.7326703125458065
condition,1 to 3,5 to 3,True,True,0.6297277572360318,9.0,two-sided,0.5445257856965547,0.8156378339630148,fdr_bh,0.365,0.210522096783544,-0.2377903125412592,0.7413360664578328
condition,1 to 3,6 to 3,True,True,0.2420701267453183,9.0,two-sided,0.8141516394937722,0.8247182362048656,fdr_bh,0.317,0.03784293979422056,-0.3928716521122978,0.573051450045844
condition,1 to 3,Cardinality3,True,True,1.2127449109338055,9.0,two-sided,0.25609840454740834,0.7664349374734684,fdr_bh,0.556,0.5160660361712437,-0.1593431998375489,0.9956168746560716
condition,2 to 3,4 to 3,True,True,0.9694095560785676,9.0,two-sided,0.3576696374876186,0.7664349374734684,fdr_bh,0.454,0.26814827549292847,-0.2153367703058714,0.9809904935976398
condition,2 to 3,5 to 3,True,True,0.5595831331223624,9.0,two-sided,0.5894166795100454,0.8156378339630148,fdr_bh,0.353,0.15304929062818798,-0.12948210569315582,1.0332476284740735
condition,2 to 3,6 to 3,True,True,-0.22803141056881363,9.0,two-sided,0.8247182362048656,0.8247182362048656,fdr_bh,0.316,-0.05573725396737613,-0.5899346446935055,0.564876293492557
condition,2 to 3,Cardinality3,True,True,1.4847537263898998,9.0,two-sided,0.1717674174140594,0.7664349374734684,fdr_bh,0.722,0.5635631353014214,-0.2842311871242013,1.2232718950871082
condition,4 to 3,5 to 3,True,True,-0.40927966889092626,9.0,two-sided,0.6919032376488183,0.8156378339630148,fdr_bh,0.332,-0.16094919567100072,-0.3997529696672543,0.5972451611170062
condition,4 to 3,6 to 3,True,True,-1.1500913989835708,9.0,two-sided,0.2797478850389939,0.7664349374734684,fdr_bh,0.526,-0.2902613993111346,-0.7003866106841444,0.30391360461874395
condition,4 to 3,Cardinality3,True,True,0.7282510058208531,9.0,two-sided,0.48497552959157253,0.8156378339630148,fdr_bh,0.386,0.2621547097049241,-0.17698544374042768,1.0290397186316385
condition,5 to 3,6 to 3,True,True,-0.5337763731150952,9.0,two-sided,0.6064261426867337,0.8156378339630148,fdr_bh,0.349,-0.19090286269155132,-0.7160258502622945,0.26037190668751975
condition,5 to 3,Cardinality3,True,True,0.9727928336195056,9.0,two-sided,0.35607428886443515,0.7664349374734684,fdr_bh,0.455,0.5111544189074383,-0.16480682087618165,0.9887988823609672
condition,6 to 3,Cardinality3,True,True,1.3110102329012643,9.0,two-sided,0.22231623167515635,0.7664349374734684,fdr_bh,0.608,0.5400014165331367,-0.1191968569097796,1.046353408637097
