Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,1 to 3,2 to 3,True,True,0.43496223258529937,19.0,two-sided,0.6684902335533813,0.7882455464809588,fdr_bh,0.253,0.06141658969952868,-0.41675794768663355,0.49397029358313627
condition,1 to 3,3 to 3,True,True,0.7556542383894661,19.0,two-sided,0.45912294779571716,0.7882455464809588,fdr_bh,0.3,0.18517549379327394,-0.34677558376071765,0.5197042128460396
condition,1 to 3,4 to 3,True,True,0.6774139534073637,19.0,two-sided,0.5063089008723662,0.7882455464809588,fdr_bh,0.285,0.15376577899696645,-0.25083442835803116,0.6214223739734637
condition,1 to 3,5 to 3,True,True,-0.2261775557143839,19.0,two-sided,0.8234786759430249,0.8234786759430249,fdr_bh,0.238,-0.04632968704413966,-0.38321486689915996,0.46163560852049634
condition,1 to 3,6 to 3,True,True,-0.5969793237538364,19.0,two-sided,0.5575687823139006,0.7882455464809588,fdr_bh,0.273,-0.13461215612182648,-0.5571857951641515,0.31095027522691643
condition,2 to 3,3 to 3,True,True,0.5469585296955258,19.0,two-sided,0.5907741008691395,0.7882455464809588,fdr_bh,0.266,0.12384329474820238,-0.34857367698036545,0.5644635448772102
condition,2 to 3,4 to 3,True,True,0.46795216471330114,19.0,two-sided,0.6451419380710948,0.7882455464809588,fdr_bh,0.256,0.08746346023966206,-0.36465644077594955,0.5739310108793735
condition,2 to 3,5 to 3,True,True,-0.5459768613694483,19.0,two-sided,0.5914355020357868,0.7882455464809588,fdr_bh,0.266,-0.10147795806352662,-0.5758812494410543,0.3377292589733716
condition,2 to 3,6 to 3,True,True,-0.9719523354176598,19.0,two-sided,0.34328634584357454,0.7882455464809588,fdr_bh,0.353,-0.19542929559287311,-0.6221452667945784,0.294337698629982
condition,3 to 3,4 to 3,True,True,-0.2898568472634059,19.0,two-sided,0.775065330715714,0.8234786759430249,fdr_bh,0.241,-0.044923180835207466,-0.38771558470849704,0.4997298551457881
condition,3 to 3,5 to 3,True,True,-1.0949318315861813,19.0,two-sided,0.2872329457475203,0.7882455464809588,fdr_bh,0.393,-0.21416778387420457,-0.5175381142307345,0.34886327870452294
condition,3 to 3,6 to 3,True,True,-1.9090015188355844,19.0,two-sided,0.07148305024170055,0.5361228768127542,fdr_bh,1.054,-0.31795607241619017,-0.6545623427553422,0.24159012071072902
condition,4 to 3,5 to 3,True,True,-1.2320281486322566,19.0,two-sided,0.23296868431824355,0.7882455464809588,fdr_bh,0.45,-0.18654260910531842,-0.5668408142657226,0.3018125005011165
condition,4 to 3,6 to 3,True,True,-2.246417277113834,19.0,two-sided,0.03676004005237759,0.5361228768127542,fdr_bh,1.771,-0.29949944729756367,-1.0162281204789518,-0.0667041003382281
condition,5 to 3,6 to 3,True,True,-0.41450574720037475,19.0,two-sided,0.6831461402834976,0.7882455464809588,fdr_bh,0.251,-0.07272746087647801,-0.6465871940563412,0.22771042379759904
