Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,1 to 3,2 to 3,True,True,-3.0500870435330776,19.0,two-sided,0.006587677719687769,0.06498712604223646,fdr_bh,7.267,-0.7621556096404404,-0.9772364475162201,-0.012698094436841334
condition,1 to 3,4 to 3,True,True,-0.26955933109781854,19.0,two-sided,0.7904050629078663,0.7904050629078663,fdr_bh,0.24,-0.07383713508439071,-0.441167003148564,0.42371431652330754
condition,1 to 3,5 to 3,True,True,-0.9079270929177654,19.0,two-sided,0.3752891785962845,0.5361273979946922,fdr_bh,0.335,-0.2847145807242523,-0.5338337450933605,0.31325641184938413
condition,1 to 3,6 to 3,True,True,0.3006811951304816,19.0,two-sided,0.7669230609409818,0.7904050629078663,fdr_bh,0.242,0.07909281076153558,-0.26961300959492496,0.6011738734719659
condition,2 to 3,4 to 3,True,True,2.013792422444063,19.0,two-sided,0.05841378046224051,0.1947126015408017,fdr_bh,1.231,0.6196109094003887,-0.04086867218320461,0.9414640220149844
condition,2 to 3,5 to 3,True,True,1.1543956780285032,19.0,two-sided,0.2626517537376633,0.5253035074753266,fdr_bh,0.416,0.28993324876600474,-0.1957843246115606,0.7307453124518947
condition,2 to 3,6 to 3,True,True,2.7405865148994444,19.0,two-sided,0.012997425208447292,0.06498712604223646,fdr_bh,4.121,0.6965108476993325,0.04849615513337424,1.021896471535891
condition,4 to 3,5 to 3,True,True,-0.9986034688583537,19.0,two-sided,0.3305356988288669,0.5361273979946922,fdr_bh,0.361,-0.2108333527941451,-0.689453965168092,0.1888524819776744
condition,4 to 3,6 to 3,True,True,0.6171570514096942,19.0,two-sided,0.5444568974798702,0.6805711218498378,fdr_bh,0.276,0.13717045457905558,-0.28950117519066987,0.6026680078795077
condition,5 to 3,6 to 3,True,True,1.464845295233559,19.0,two-sided,0.15931496353454347,0.39828740883635866,fdr_bh,0.584,0.31671143647607786,-0.1652035005836756,0.7159017697130562
