Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,1 to 3,2 to 3,True,True,1.9589268659401893,4.0,two-sided,0.1217043132986704,0.7582905806649124,fdr_bh,1.189,1.0503422470203936,-0.9170443650074308,0.9326753771896296
condition,1 to 3,4 to 3,True,True,1.020949311666143,4.0,two-sided,0.3650008428530086,0.7582905806649124,fdr_bh,0.584,0.47144758305951845,-0.5459839876732742,1.165724530542519
condition,1 to 3,5 to 3,True,True,0.926635685238346,4.0,two-sided,0.40656387761008456,0.7582905806649124,fdr_bh,0.55,0.6902988052927214,-0.7446367536293425,0.529764238588429
condition,1 to 3,6 to 3,True,True,0.7823032440718785,4.0,two-sided,0.4777551672198306,0.7582905806649124,fdr_bh,0.504,0.24659199796893977,-0.7715789440112988,0.6602428597482866
condition,2 to 3,4 to 3,True,True,-1.0618817270948948,4.0,two-sided,0.348148402424152,0.7582905806649124,fdr_bh,0.601,-0.5595656568017106,-1.0573835824660829,0.7999533424814349
condition,2 to 3,5 to 3,True,True,-0.6853047786212639,4.0,two-sided,0.5308034064654387,0.7582905806649124,fdr_bh,0.479,-0.3773257417024521,-0.4096902386593023,0.9590358211555577
condition,2 to 3,6 to 3,True,True,-0.8066374922694961,4.0,two-sided,0.4651020145524688,0.7582905806649124,fdr_bh,0.511,-0.4845386680217016,-0.6925272196176661,0.7383745379487509
condition,4 to 3,5 to 3,True,True,0.4497149380884993,4.0,two-sided,0.6762093504620897,0.8196724269010878,fdr_bh,0.432,0.20637175378699923,-0.6893349725192418,0.7416232979633574
condition,4 to 3,6 to 3,True,True,-0.21979067192574064,4.0,two-sided,0.8367952326172793,0.8367952326172793,fdr_bh,0.406,-0.12087559690779996,-0.7362428885696055,0.8015023472622385
condition,5 to 3,6 to 3,True,True,-0.3590545822045716,4.0,two-sided,0.737705184210979,0.8196724269010878,fdr_bh,0.419,-0.2697419372769224,-0.6975080089732671,0.5744338103738543
