Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,1 to 3,2 to 3,True,True,-1.7320508075688774,2.0,two-sided,0.22540333075851657,0.48300713733967837,fdr_bh,0.986,-0.5940885257860046,-0.9765696253951113,0.8743298989064618
condition,1 to 3,3 to 3,True,True,-1.9999999999999998,2.0,two-sided,0.18350341907227394,0.48300713733967837,fdr_bh,1.128,-0.3481553119113963,-1.199040785105632,0.3986618177703076
condition,1 to 3,4 to 3,True,True,0.7559289460184545,2.0,two-sided,0.5285954792089683,0.6099178606257326,fdr_bh,0.581,0.43643578047198317,-0.7275794755923981,0.949605993485841
condition,1 to 3,5 to 3,True,True,0.0,2.0,two-sided,1.0,1.0,fdr_bh,0.467,0.0,-0.9982056468584066,0.30964646531099493
condition,1 to 3,6 to 3,True,True,-0.9999999999999999,2.0,two-sided,0.42264973081037427,0.6099178606257326,fdr_bh,0.661,-0.40824829046386374,-0.9907501594536016,0.4645153478693841
condition,2 to 3,3 to 3,True,True,0.9999999999999999,2.0,two-sided,0.42264973081037427,0.6099178606257326,fdr_bh,0.661,0.22645540682891835,-0.8789363888403549,0.971750725431275
condition,2 to 3,4 to 3,True,True,5.000000000000001,2.0,two-sided,0.03774955135062371,0.4289321881345247,fdr_bh,3.021,1.8257418583505511,-0.8646602352610687,0.9867537743945406
condition,2 to 3,5 to 3,True,True,1.7320508075688774,2.0,two-sided,0.22540333075851657,0.48300713733967837,fdr_bh,0.986,0.5940885257860046,-1.384355801394829,0.09273052220420797
condition,2 to 3,6 to 3,True,True,0.9999999999999999,2.0,two-sided,0.42264973081037427,0.6099178606257326,fdr_bh,0.661,0.30860669992418277,-0.6259646592980268,0.8076994191426417
condition,3 to 3,4 to 3,True,True,1.9999999999999998,2.0,two-sided,0.18350341907227394,0.48300713733967837,fdr_bh,1.128,1.0327955589886435,-0.47474119557654504,1.2606464435699207
condition,3 to 3,5 to 3,True,True,1.9999999999999998,2.0,two-sided,0.18350341907227394,0.48300713733967837,fdr_bh,1.128,0.3481553119113963,-0.8738538630788923,0.48256107264327763
condition,3 to 3,6 to 3,True,True,0.0,2.0,two-sided,1.0,1.0,fdr_bh,0.467,0.0,-0.7686680450680552,0.7686680450680552
condition,4 to 3,5 to 3,True,True,-0.7559289460184545,2.0,two-sided,0.5285954792089683,0.6099178606257326,fdr_bh,0.581,-0.43643578047198317,-1.4801584091223696,0.10966183139398389
condition,4 to 3,6 to 3,True,True,-4.0,2.0,two-sided,0.05719095841793663,0.4289321881345247,fdr_bh,2.358,-1.6329931618554505,-0.9799037216493393,0.5732408674290602
condition,5 to 3,6 to 3,True,True,-0.7559289460184545,2.0,two-sided,0.5285954792089683,0.6099178606257326,fdr_bh,0.581,-0.40824829046386374,-0.550898582076185,0.7221683497917201
