Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,1 to 3,2 to 3,True,True,0.6885887890449491,23.0,two-sided,0.4979695943713104,0.8155575045157948,fdr_bh,0.266,0.11415915825158506,-0.28378584636243537,0.5649010423226175
condition,1 to 3,3 to 3,True,True,2.4411133824096036,23.0,two-sided,0.022753634913482784,0.08614920350187288,fdr_bh,2.449,0.549219160925066,0.05058258855311437,0.9459977766440647
condition,1 to 3,4 to 3,True,True,0.5931864776235406,23.0,two-sided,0.5588448828523831,0.8155575045157948,fdr_bh,0.252,0.07248997234230636,-0.3027241842899301,0.544891549706021
condition,1 to 3,5 to 3,True,True,0.7030215876169955,23.0,two-sided,0.48909789654676294,0.8155575045157948,fdr_bh,0.269,0.13521302807447927,-0.28092766604107855,0.5679350273449079
condition,1 to 3,6 to 3,True,True,0.02922293455293649,23.0,two-sided,0.9769388860079138,0.9769388860079138,fdr_bh,0.215,0.003735415759600526,-0.41630161624340134,0.428231829316975
condition,2 to 3,3 to 3,True,True,1.979496773410058,23.0,two-sided,0.05985074979934179,0.1795522493980254,fdr_bh,1.13,0.4203102015924159,-0.035097196903608796,0.8432233706269978
condition,2 to 3,4 to 3,True,True,-0.3213872006996781,23.0,two-sided,0.7508193876579761,0.8663300626822801,fdr_bh,0.225,-0.051099885351064106,-0.48831993737004653,0.3571141621074365
condition,2 to 3,5 to 3,True,True,0.053643166500336695,23.0,two-sided,0.9576826885392975,0.9769388860079138,fdr_bh,0.215,0.007576482292401479,-0.4113257580906164,0.4332254891094472
condition,2 to 3,6 to 3,True,True,-0.7321339113709605,23.0,two-sided,0.4714820494794023,0.8155575045157948,fdr_bh,0.274,-0.10882052110905874,-0.5740603527823811,0.27516793507456494
condition,3 to 3,4 to 3,True,True,-2.43671868021491,23.0,two-sided,0.022973120933832768,0.08614920350187288,fdr_bh,2.43,-0.5232419448112242,-0.945011771281655,-0.049774464257442474
condition,3 to 3,5 to 3,True,True,-2.9058425196964626,23.0,two-sided,0.007962863421612836,0.06431638071599222,fdr_bh,5.866,-0.47500404536080276,-1.0510529567425007,-0.1352522842807845
condition,3 to 3,6 to 3,True,True,-2.873908285686543,23.0,two-sided,0.008575517428798961,0.06431638071599222,fdr_bh,5.511,-0.5355126843902762,-1.0437851272397767,-0.12948301734168577
condition,4 to 3,5 to 3,True,True,0.4563111255662235,23.0,two-sided,0.6524460036126358,0.8155575045157948,fdr_bh,0.236,0.06673377071408601,-0.330033727036349,0.5163219639684009
condition,4 to 3,6 to 3,True,True,-0.46876977145153903,23.0,two-sided,0.6436469390374351,0.8155575045157948,fdr_bh,0.237,-0.06726032971071796,-0.5189156564612174,0.3275411986449908
condition,5 to 3,6 to 3,True,True,-0.7821472237438366,23.0,two-sided,0.4421063987659093,0.8155575045157948,fdr_bh,0.283,-0.12868754841120325,-0.5846004261660289,0.26529015918155113
