Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
1 to 4 - 2 to 4,-2.5474953255746198,2.0619419504239103,-1.235483532914632,0.21665060129913316,0.8605355636439778
1 to 4 - 3 to 4,-0.6064232069074381,2.2234992862008793,-0.27273370883045633,0.7850579207578756,0.9756833651943169
1 to 4 - 5 to 4,-4.982406137595001,2.135071268379811,-2.3336017918389564,0.019616582687776107,0.2570846161180899
1 to 4 - 6 to 4,-4.621129755144586,2.1194641543708452,-2.1803292806885666,0.02923306210960286,0.3399000868058128
1 to 4 - Cardinality4,-1.4703967372326125,2.2005904493696624,-0.66818282232107,0.5040168990494374,0.9699852729921095
2 to 4 - 3 to 4,1.9410721186671815,1.9623478238621574,0.989158035626374,0.32258582647492284,0.9033669527645175
2 to 4 - 5 to 4,-2.4349108120203815,1.8855622025046794,-1.291344729325809,0.19658416690328684,0.8605355636439778
2 to 4 - 6 to 4,-2.073634429569966,1.9276295015258105,-1.0757432524915114,0.2820420977858693,0.9016684557620296
2 to 4 - Cardinality4,1.0770985883420072,2.083097816667912,0.5170657756556607,0.6051102435906237,0.9756833651943169
3 to 4 - 5 to 4,-4.375982930687563,2.0420621564591563,-2.1429234741195735,0.032119243715957646,0.34583980063052044
3 to 4 - 6 to 4,-4.014706548237148,2.025946906469606,-1.981644501845872,0.04751904272172913,0.44246052695090565
3 to 4 - Cardinality4,-0.8639735303251744,2.2536121359871726,-0.3833727714404233,0.7014433891954659,0.9756833651943169
5 to 4 - 6 to 4,0.3612763824504155,2.0018727898324045,0.18046920078306342,0.8567842316075618,0.9756833651943169
5 to 4 - Cardinality4,3.5120094003623885,2.1588234788477307,1.6268163815954602,0.10377610136259308,0.7003724614584663
6 to 4 - Cardinality4,3.150733017911973,2.1230040942774084,1.4840918236591367,0.13778456205113399,0.7729309483127916
