Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,1 to 4,2 to 4,True,True,0.2295866784380193,4.0,two-sided,0.8296750557850423,0.9666405733302624,fdr_bh,0.406,0.14870866565895707,-0.7181592100669036,0.9599826711448431
condition,1 to 4,3 to 4,True,True,-1.77327271847322,4.0,two-sided,0.15086272671844855,0.691569609737214,fdr_bh,1.026,-0.9597522840127389,-0.6559496530379912,0.7760534489435139
condition,1 to 4,5 to 4,True,True,0.2184720052990555,4.0,two-sided,0.8377551635528941,0.9666405733302624,fdr_bh,0.405,0.16192919986046764,-0.5191151260251885,1.044519886011827
condition,1 to 4,6 to 4,True,True,1.4026046210787766,4.0,two-sided,0.23338088690721587,0.691569609737214,fdr_bh,0.769,0.7537066667792088,-0.268999689539695,1.2443989893686247
condition,1 to 4,Cardinality4,True,True,-1.0414816484876215,4.0,two-sided,0.35645910145194853,0.691569609737214,fdr_bh,0.592,-0.8380006483582537,-0.8221302151232854,0.7162820029800192
condition,2 to 4,3 to 4,True,True,-1.5046774858668979,4.0,two-sided,0.20685368214900485,0.691569609737214,fdr_bh,0.832,-0.7244247267060018,-1.0968969113977034,0.23193440812075966
condition,2 to 4,5 to 4,True,True,0.021009303384529276,4.0,two-sided,0.9842444712490257,0.9842444712490257,fdr_bh,0.397,0.006058512703357213,-0.5483934412351193,0.8928936566272981
condition,2 to 4,6 to 4,True,True,0.4131920323026124,4.0,two-sided,0.7006559915173376,0.9666405733302624,fdr_bh,0.426,0.21754906644759273,-0.648519186645087,0.560651772087509
condition,2 to 4,Cardinality4,True,True,-0.9081265893793745,4.0,two-sided,0.41517635758886523,0.6919605959814421,fdr_bh,0.543,-0.6821119637293622,-0.7221042634483833,0.708625793222068
condition,3 to 4,5 to 4,True,True,1.25838000815014,4.0,two-sided,0.2766965812910418,0.691569609737214,fdr_bh,0.69,0.7579225465029359,0.14757409176068526,1.5591468381324116
condition,3 to 4,6 to 4,True,True,3.485019509480804,4.0,two-sided,0.02523666126855849,0.3785499190283773,fdr_bh,3.617,1.9463142758512935,-0.20578464550133757,0.9928572954422051
condition,3 to 4,Cardinality4,True,True,0.02416539620713754,4.0,two-sided,0.9818781574721348,0.9842444712490257,fdr_bh,0.398,0.015382047105458499,-0.48532304766820944,0.8707102932323839
condition,5 to 4,6 to 4,True,True,0.3700265652989869,4.0,two-sided,0.7301218576575637,0.9666405733302624,fdr_bh,0.421,0.21813118166617707,-0.6858364237583338,0.6578476415082138
condition,5 to 4,Cardinality4,True,True,-1.0118651668364005,4.0,two-sided,0.3688371251931808,0.691569609737214,fdr_bh,0.581,-0.7115319128611541,-1.3624857634094287,0.40312052229098067
condition,6 to 4,Cardinality4,True,True,-2.1032359430813665,4.0,two-sided,0.10327541394286477,0.691569609737214,fdr_bh,1.331,-1.6136456057492072,-0.6322561713541254,0.8010016042784479
