Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
1 to 4 - 2 to 4,0.9863380144260583,1.6932857157446806,0.5824994596332977,0.5602303053915445,0.9790857052418285
1 to 4 - 3 to 4,3.712788468348248,1.6571739986118765,2.240433697039808,0.02506278070254342,0.2487084026321227
1 to 4 - 4 to 4,-0.05566681000316248,1.6783392264093258,-0.033167794166532844,0.9735407805167844,0.9897278892244237
1 to 4 - 5 to 4,-3.194761770732108,1.6713974121883275,-1.9114315646506057,0.05594914356995129,0.4377183564474185
1 to 4 - 6 to 4,-0.45681193007516896,1.655676279521001,-0.27590654992492125,0.7826198430026532,0.9897278892244237
2 to 4 - 3 to 4,2.7264504539221894,1.6803234197693109,1.622574810209156,0.10468032894244494,0.5634141882418013
2 to 4 - 4 to 4,-1.0420048244292208,1.6944566929810492,-0.6149492216269198,0.5385882551785204,0.9790857052418285
2 to 4 - 5 to 4,-4.181099785158167,1.695382754055651,-2.4661686425417786,0.013656701947911243,0.1636938816455976
2 to 4 - 6 to 4,-1.4431499445012272,1.6807463140698613,-0.8586363881451545,0.39054115580683124,0.9487532530612118
3 to 4 - 4 to 4,-3.7684552783514103,1.6642048541429801,-2.264417910433305,0.02354842341874086,0.2487084026321227
3 to 4 - 5 to 4,-6.907550239080356,1.6603378071695867,-4.1603282231197305,3.1779055937208867e-05,0.00047657981327787417
3 to 4 - 6 to 4,-4.169600398423417,1.6458033894228798,-2.533474183623802,0.011293805911102073,0.1470146557294774
4 to 4 - 5 to 4,-3.139094960728946,1.6778613965267848,-1.8708905081355058,0.06136025892448371,0.4377183564474185
4 to 4 - 6 to 4,-0.4011451200720065,1.653421651592734,-0.2426151367290885,0.8083035540998464,0.9897278892244237
5 to 4 - 6 to 4,2.737949840656939,1.6567455088972085,1.6526073714721705,0.09841079687258958,0.5634141882418013
