Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
1 to 4 - 2 to 4,-0.3528077240509919,0.4077285816913917,-0.8653004471441024,0.3868739054727597,0.9860653908319597
1 to 4 - 3 to 4,-0.7095082296630387,0.39925582082387434,-1.7770767329051103,0.07555561574478209,0.6670867809982288
1 to 4 - 4 to 4,-0.6912521148384432,0.40385866859418124,-1.7116188622239288,0.08696692994828448,0.6935747116041144
1 to 4 - 5 to 4,-0.45733852933679847,0.40251392470253955,-1.1362054857475419,0.25587057519774437,0.9612623511488037
1 to 4 - 6 to 4,-0.8535922624381506,0.3986412342105691,-2.141254313865757,0.03225353518582086,0.3884613605613533
2 to 4 - 3 to 4,-0.3567005056120468,0.40461416439694575,-0.8815818550091752,0.3780029710132722,0.9860653908319597
2 to 4 - 4 to 4,-0.33844439078745125,0.4078046356281518,-0.8299179587945017,0.4065851704275929,0.9860653908319597
2 to 4 - 5 to 4,-0.10453080528580655,0.4081558291313521,-0.25610513883452735,0.7978696540686805,0.9899786246616658
2 to 4 - 6 to 4,-0.5007845383871586,0.4045439210071113,-1.2378990571418216,0.21575349199460891,0.9458708604837377
3 to 4 - 4 to 4,0.01825611482459555,0.40063025419952175,0.04556848773458742,0.963654186214612,0.9899786246616658
3 to 4 - 5 to 4,0.25216970032624025,0.39969458019360504,0.6309059787703243,0.5281020023769916,0.9889569558828439
3 to 4 - 6 to 4,-0.14408403277511184,0.3964999219477946,-0.36338981371623763,0.7163137099444217,0.9899786246616658
4 to 4 - 5 to 4,0.2339135855016447,0.403798168826295,0.5792834231555645,0.562397948868832,0.9889569558828439
4 to 4 - 6 to 4,-0.16234014759970739,0.39833092820404337,-0.4075509484830897,0.6836033823829741,0.9899786246616658
5 to 4 - 6 to 4,-0.3962537331013521,0.39891879620686715,-0.9933192841980476,0.32055438269685754,0.9790324824052206
