Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
1 to 4 - 2 to 4,-2.8210033705924342,1.5978765608597927,-1.76547014938031,0.07748478278675708,0.5881785854251935
1 to 4 - 3 to 4,-3.466826792108856,1.6917926603654165,-2.0492031165095868,0.04044225746324992,0.4153115933361335
1 to 4 - 4 to 4,-1.318905849944317,1.6941468737731762,-0.7785073834872838,0.436269955570991,0.9679057605135962
1 to 4 - 5 to 4,-3.8575396181433925,1.6771450644455617,-2.3000631847064676,0.021444640632319212,0.26176335751161556
1 to 4 - 6 to 4,-4.38624900152492,1.5808853308146198,-2.774552281578016,0.00552777483936806,0.07978380580824103
2 to 4 - 3 to 4,-0.6458234215164218,1.6151303924454057,-0.399858379569346,0.6892608288852538,0.9731057035070829
2 to 4 - 4 to 4,1.5020975206481173,1.6855859020846633,0.8911426696143964,0.3728526361525277,0.9618418590691121
2 to 4 - 5 to 4,-1.0365362475509583,1.5912405457674368,-0.6514013549416244,0.5147874362218137,0.9731057035070829
2 to 4 - 6 to 4,-1.5652456309324858,1.5593056869795716,-1.0038093518176157,0.31547051589212116,0.9517899845445007
3 to 4 - 4 to 4,2.1479209421645393,1.7845099630869086,1.2036474923619869,0.22872585493953146,0.9034218332779356
3 to 4 - 5 to 4,-0.3907128260345365,1.7018520536865067,-0.22958095869037778,0.818417404452896,0.9731057035070829
3 to 4 - 6 to 4,-0.919422209416064,1.6321310767372994,-0.5633262073864979,0.5732127755211767,0.9731057035070829
4 to 4 - 5 to 4,-2.538633768199076,1.7450265961553912,-1.4547822788444282,0.1457295456761123,0.7930078565611712
4 to 4 - 6 to 4,-3.0673431515806033,1.6048630241907427,-1.911280343147865,0.05596856376538151,0.49900028539159497
5 to 4 - 6 to 4,-0.5287093833815275,1.625980813437273,-0.32516335925505313,0.7450574382122863,0.9731057035070829
