Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
1 to 4 - 2 to 4,-0.3547888034407497,0.378558077237376,-0.9372110246066109,0.3486500199535456,0.986255022230624
1 to 4 - 3 to 4,-0.5732178021831892,0.4010737470419098,-1.4292079858402984,0.15294446309671628,0.9021036727402276
1 to 4 - 4 to 4,-0.06439837478579973,0.4077200993071868,-0.15794751079288916,0.8744981597136348,0.998023256668814
1 to 4 - 5 to 4,-0.3974584621935794,0.39772256415283613,-0.9993359643554062,0.31763196893034285,0.9850649943437195
1 to 4 - 6 to 4,-0.6128214611920852,0.38000361720435033,-1.6126727048035836,0.10681563362226254,0.8162968118249838
2 to 4 - 3 to 4,-0.21842899874243948,0.3745698068258825,-0.5831463048060771,0.5597948142977727,0.9928776405714439
2 to 4 - 4 to 4,0.29039042865494996,0.3939210804546356,0.7371792043213378,0.46101337804657483,0.9928776405714439
2 to 4 - 5 to 4,-0.04266965875282969,0.37067207750099324,-0.11511430545430106,0.90835452117023,0.998023256668814
2 to 4 - 6 to 4,-0.25803265775133555,0.36410828459914146,-0.7086701090457527,0.4785292181421734,0.9928776405714439
3 to 4 - 4 to 4,0.5088194273973895,0.41688887279023595,1.220515731187217,0.2222694297611416,0.9510277518871938
3 to 4 - 5 to 4,0.1757593399896098,0.3950475446942766,0.44490680261189375,0.6563871063933018,0.9928776405714439
3 to 4 - 6 to 4,-0.039603659008896064,0.385647958198163,-0.10269381223728909,0.9182059847996134,0.998023256668814
4 to 4 - 5 to 4,-0.33306008740777965,0.41053718603954314,-0.8112787312175398,0.41720562126562344,0.9922439930834421
4 to 4 - 6 to 4,-0.5484230864062856,0.38728183369161556,-1.4160826527251558,0.1567513064638364,0.9021036727402276
5 to 4 - 6 to 4,-0.21536299899850586,0.3817457626309024,-0.5641529522535483,0.5726500434532196,0.9928776405714439
