Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
1 to 4 - 2 to 4,-6.659596581348394,5.188469160360342,-1.283537855872286,0.19930370577577383,0.9425961259656599
1 to 4 - 3 to 4,-6.987585823162254,5.420180995976216,-1.2891794256224345,0.19733571602521627,0.9425961259656599
1 to 4 - 4 to 4,-1.9392009980651574,6.000658247460327,-0.3231647126189681,0.7465705035330084,0.9999328570954032
1 to 4 - 5 to 4,-7.337027622026083,5.0371639145466505,-1.4565790882519698,0.14523260359050738,0.8888597734346276
1 to 4 - 6 to 4,-7.892397787252149,5.266521263005251,-1.4985979156093798,0.13397797380123033,0.8844063257199946
2 to 4 - 3 to 4,-0.32798924181386013,5.482262807677762,-0.05982734745122397,0.9522931444671827,0.9999649279058934
2 to 4 - 4 to 4,4.720395583283237,6.162818928255799,0.7659474727775595,0.44370755727753264,0.9930712598798891
2 to 4 - 5 to 4,-0.6774310406776891,5.129309451478597,-0.1320706124451918,0.8949284401365589,0.9999649279058934
2 to 4 - 6 to 4,-1.2328012059037547,5.3863846123929555,-0.22887359418548286,0.8189671646369421,0.999964799881889
3 to 4 - 4 to 4,5.048384825097097,6.320743308601461,0.7987011303286277,0.424463731216544,0.9930712598798891
3 to 4 - 5 to 4,-0.349441798863829,5.3644603284241485,-0.06514015902257221,0.9480624060378224,0.9999649279058934
3 to 4 - 6 to 4,-0.9048119640898946,5.5926127442276155,-0.16178698677532988,0.8714736010800448,0.9999649279058934
4 to 4 - 5 to 4,-5.397826623960926,5.947065994857295,-0.9076453210084903,0.36406564141100795,0.9891825997528698
4 to 4 - 6 to 4,-5.9531967891869915,6.080295963318289,-0.9790965481124485,0.3275322770763025,0.9872829645128007
5 to 4 - 6 to 4,-0.5553701652260656,5.202447608053911,-0.10675170747828329,0.9149859603061221,0.9999649279058934
