Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
1 to 4 - 2 to 4,-3.973714145986645,9.628857166397548,-0.4126880352794073,0.6798351920005137,0.9999393572025413
1 to 4 - 3 to 4,-7.10886399562704,10.099455089541209,-0.7038858960805554,0.4815038354441503,0.9998046489423548
1 to 4 - 4 to 4,4.7757948080391825,11.327714144664995,0.42160269468738626,0.6733150390736458,0.9999393572025413
1 to 4 - 5 to 4,-1.6669165470898475,9.303118213416804,-0.17917826140119858,0.8577977323803343,0.9999393572025413
1 to 4 - 6 to 4,-0.9554104539070866,9.761392395604888,-0.09787645196368343,0.9220303988007603,0.9999393572025413
2 to 4 - 3 to 4,-3.1351498496403947,10.216722489727536,-0.30686454024689913,0.7589464804809616,0.9999393572025413
2 to 4 - 4 to 4,8.749508954025828,11.7548767310537,0.7443301324387028,0.4566767760065451,0.9998046489423548
2 to 4 - 5 to 4,2.3067975988967975,9.49513630700386,0.2429451799649515,0.8080478652681213,0.9999393572025413
2 to 4 - 6 to 4,3.0183036920795585,9.998552531315692,0.30187406453345755,0.7627480674699951,0.9999393572025413
3 to 4 - 4 to 4,11.884658803666223,12.030245855325479,0.9878982480150389,0.3232024835809635,0.9971366044534974
3 to 4 - 5 to 4,5.441947448537192,9.9985820440924,0.5442719202121797,0.5862543668368394,0.9999393572025413
3 to 4 - 6 to 4,6.153453541719953,10.419026428779029,0.5905977476670108,0.5547899743723308,0.9999393572025413
4 to 4 - 5 to 4,-6.44271135512903,11.267674630616094,-0.571787131447969,0.5674661964497842,0.9999393572025413
4 to 4 - 6 to 4,-5.731205261946269,11.487504535418694,-0.4989077692440171,0.6178443604945842,0.9999393572025413
5 to 4 - 6 to 4,0.7115060931827609,9.634136595792706,0.07385260589864177,0.9411276678212968,0.9999393572025413
