Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,1 to 4,2 to 4,True,True,-1.2751794090681576,23.0,two-sided,0.21497662335838275,0.6595603328191196,fdr_bh,0.441,-0.21981786802703124,-0.6896507448935978,0.16906093110680348
condition,1 to 4,3 to 4,True,True,-0.6095276883768075,23.0,two-sided,0.5481494472215978,0.8222241708323966,fdr_bh,0.254,-0.16550430542303443,-0.5483133101924074,0.29947467342218553
condition,1 to 4,4 to 4,True,True,0.20094890343858038,23.0,two-sided,0.8425049796415,0.90268390675875,fdr_bh,0.219,0.036315570572631246,-0.38142202240646905,0.4634590687058574
condition,1 to 4,5 to 4,True,True,0.21290614789536133,23.0,two-sided,0.833275946043271,0.90268390675875,fdr_bh,0.219,0.04289803422715243,-0.3790030170189464,0.46592158792647403
condition,1 to 4,6 to 4,True,True,-1.416217200239423,23.0,two-sided,0.1701132983605775,0.6595603328191196,fdr_bh,0.518,-0.3150957175932483,-0.7200789012823474,0.14191065035908473
condition,2 to 4,3 to 4,True,True,0.24346500419103134,23.0,two-sided,0.8098035908190664,0.90268390675875,fdr_bh,0.221,0.054536254097387715,-0.3728265264918814,0.4722206982406473
condition,2 to 4,4 to 4,True,True,1.145395622616677,23.0,two-sided,0.26382413312764785,0.6595603328191196,fdr_bh,0.385,0.2578388463988434,-0.1941917876684078,0.6617975925064582
condition,2 to 4,5 to 4,True,True,1.2582632307981205,23.0,two-sided,0.22092048463429872,0.6595603328191196,fdr_bh,0.433,0.2598250154163478,-0.17232849961255214,0.686012312539422
condition,2 to 4,6 to 4,True,True,-0.5199456080904846,23.0,two-sided,0.608070158423546,0.8291865796684718,fdr_bh,0.243,-0.11536987423335902,-0.5295838749057508,0.3173169692686167
condition,3 to 4,4 to 4,True,True,0.7882854799070057,23.0,two-sided,0.438579450657114,0.7314651031048566,fdr_bh,0.284,0.20312408426609962,-0.2640793241583608,0.5858955237278817
condition,3 to 4,5 to 4,True,True,0.9405583253012044,23.0,two-sided,0.35670551614754453,0.7314651031048566,fdr_bh,0.32,0.20628982910101099,-0.23414573381736992,0.6181270622031405
condition,3 to 4,6 to 4,True,True,-0.7877628689936548,23.0,two-sided,0.4388790618629139,0.7314651031048566,fdr_bh,0.284,-0.16482841130691722,-0.5857852465035114,0.2641824019459437
condition,4 to 4,5 to 4,True,True,0.0314040790975763,23.0,two-sided,0.975218217933423,0.975218217933423,fdr_bh,0.215,0.007343335805148705,-0.41585697362289875,0.4286776352280762
condition,4 to 4,6 to 4,True,True,-1.8188612525235852,23.0,two-sided,0.08197815225955868,0.6148361419466901,fdr_bh,0.886,-0.3503036940611122,-0.8078456240675684,0.0652986271338542
condition,5 to 4,6 to 4,True,True,-1.8887905907714484,23.0,two-sided,0.07159511485938949,0.6148361419466901,fdr_bh,0.983,-0.3508490471172629,-0.8232215553416837,0.05212602561501001
