Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,1 to 4,2 to 4,True,True,-1.097122309120084,7.0,two-sided,0.30888902902019255,0.554883062779772,fdr_bh,0.539,-0.4401041363386794,-0.944403658002404,0.09414029352501424
condition,1 to 4,3 to 4,True,True,-0.5440702107291225,7.0,two-sided,0.6032829130410831,0.8091921940674685,fdr_bh,0.38,-0.2501905460582992,-0.9578265510362998,0.18983847665536863
condition,1 to 4,4 to 4,True,True,-0.3458015930487157,7.0,two-sided,0.7396516006373421,0.8091921940674685,fdr_bh,0.354,-0.17830489901079236,-0.7836122516897082,0.49378124274838964
condition,1 to 4,5 to 4,True,True,-1.4359466851638831,7.0,two-sided,0.19415934077540128,0.4937823196275166,fdr_bh,0.723,-0.8777355972001077,-0.6921448371477198,0.25499756117805317
condition,1 to 4,6 to 4,True,True,-2.1885949464623744,7.0,two-sided,0.06481306992091702,0.48609802440687766,fdr_bh,1.566,-0.9812927050269088,-0.807049503136938,0.24160303092384378
condition,2 to 4,3 to 4,True,True,0.3242177754571948,7.0,two-sided,0.7552460477963039,0.8091921940674685,fdr_bh,0.352,0.17382890122340075,-0.7096545641339262,0.4499679717451157
condition,2 to 4,4 to 4,True,True,0.38012399497947286,7.0,two-sided,0.7151243467043511,0.8091921940674685,fdr_bh,0.357,0.19441804587445116,-0.5082361921478192,0.8448647000421051
condition,2 to 4,5 to 4,True,True,-1.0399829698682292,7.0,two-sided,0.33292983766786316,0.554883062779772,fdr_bh,0.516,-0.5598105119823621,-0.49782614730741087,0.466203242702565
condition,2 to 4,6 to 4,True,True,-1.7945571377988543,7.0,two-sided,0.11580313104767744,0.4937823196275166,fdr_bh,1.031,-0.7114011338671757,-0.4963960434288247,0.5319904935302587
condition,3 to 4,4 to 4,True,True,0.0950962610052157,7.0,two-sided,0.9269033892190304,0.9269033892190304,fdr_bh,0.338,0.04350352316224367,-0.7345071071330166,0.6963369795903359
condition,3 to 4,5 to 4,True,True,-1.4047543038918364,7.0,two-sided,0.20288135153964643,0.4937823196275166,fdr_bh,0.703,-0.6588514609836363,-0.6194035603183381,0.4893300904170037
condition,3 to 4,6 to 4,True,True,-1.3134837447985162,7.0,two-sided,0.23043174915950776,0.4937823196275166,fdr_bh,0.647,-0.7927540972654706,-0.6394892890694843,0.5163698382980997
condition,4 to 4,5 to 4,True,True,-2.6345801789248395,7.0,two-sided,0.03368766451642725,0.48609802440687766,fdr_bh,2.555,-0.6191493346889111,-0.9926104463914966,0.3141734626101635
condition,4 to 4,6 to 4,True,True,-1.5675003347755812,7.0,two-sided,0.1609831650987595,0.4937823196275166,fdr_bh,0.82,-0.7541994756772584,-1.0152201010215476,0.4443445682723368
condition,5 to 4,6 to 4,True,True,-0.4798644957243165,7.0,two-sided,0.6459549115922857,0.8091921940674685,fdr_bh,0.37,-0.22683185946069667,-0.5510803566105306,0.4442060028598775
