Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,1 to 4,2 to 4,True,True,-1.4196401316718432,12.0,two-sided,0.18116535497918,0.44085499680761125,fdr_bh,0.631,-0.3223160481387679,-0.8834052353027044,0.14454592243960313
condition,1 to 4,3 to 4,True,True,0.3547908086266849,12.0,two-sided,0.7289034773203336,0.8098927525781484,fdr_bh,0.294,0.0927157471518385,-0.5927025648024238,0.5152754279898568
condition,1 to 4,5 to 4,True,True,0.4558301499336236,12.0,two-sided,0.6566509606159774,0.8098927525781484,fdr_bh,0.305,0.09118730603898911,-0.4420976301989514,0.4940893075214133
condition,1 to 4,6 to 4,True,True,1.1705193493211665,12.0,two-sided,0.26451299808456674,0.44085499680761125,fdr_bh,0.492,0.39693312788230906,-0.38494990475764856,0.6477855374908519
condition,2 to 4,3 to 4,True,True,1.4206728077290771,12.0,two-sided,0.18087137467518072,0.44085499680761125,fdr_bh,0.632,0.47587841132051345,-0.37453583236267285,0.7927870011754359
condition,2 to 4,5 to 4,True,True,1.3232662429927844,12.0,two-sided,0.2104062893400454,0.44085499680761125,fdr_bh,0.571,0.42166657079017456,-0.2010299502492462,0.7831428570585044
condition,2 to 4,6 to 4,True,True,1.8318813914965206,12.0,two-sided,0.09189112902671323,0.44085499680761125,fdr_bh,1.021,0.7777490838404597,-0.22040678253094687,0.8316353079821486
condition,3 to 4,5 to 4,True,True,0.04476970781122136,12.0,two-sided,0.9650272511551531,0.9650272511551531,fdr_bh,0.278,0.011189304321823638,-0.43556661013519127,0.675990598488193
condition,3 to 4,6 to 4,True,True,1.2361574857270443,12.0,two-sided,0.24005035539142328,0.44085499680761125,fdr_bh,0.524,0.3661408082868454,-0.30085889654107373,0.8776752523735827
condition,5 to 4,6 to 4,True,True,0.9898699833959024,12.0,two-sided,0.34177789519100266,0.4882541359871467,fdr_bh,0.421,0.3015602788947204,-0.4742578863640095,0.5204513476697905
