Contrast,A,B,Paired,Parametric,dof,alternative,p-adjust,BF10,ci_lower,ci_upper
condition,2 to 5,3 to 5,True,True,0.0,two-sided,fdr_bh,nan,-1.896788290001389,0.7747919384047813
condition,2 to 5,4 to 5,True,True,0.0,two-sided,fdr_bh,nan,-1.3177786941693286,0.814110673620956
condition,2 to 5,6 to 5,True,True,0.0,two-sided,fdr_bh,nan,-1.0094049275130497,0.6743291475626777
condition,2 to 5,Cardinality5,True,True,0.0,two-sided,fdr_bh,nan,-0.9211570733463169,0.9285407259091821
condition,3 to 5,4 to 5,True,True,0.0,two-sided,fdr_bh,nan,-2.0185208164773565,1.2727045326946598
condition,3 to 5,6 to 5,True,True,0.0,two-sided,fdr_bh,nan,-1.393788575195426,1.8255178032974315
condition,3 to 5,Cardinality5,True,True,0.0,two-sided,fdr_bh,nan,-0.12658035876679774,4.299498962599289
condition,4 to 5,6 to 5,True,True,0.0,two-sided,fdr_bh,nan,-0.7262747458699421,1.4380317749649196
condition,4 to 5,Cardinality5,True,True,0.0,two-sided,fdr_bh,nan,-10.762888470066827,13.276374503556625
condition,6 to 5,Cardinality5,True,True,0.0,two-sided,fdr_bh,nan,-1.2230219588739637,0.8903197884729301
