Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,2 to 5,3 to 5,True,True,-1.7610007369406802,23.0,two-sided,0.09152975628811451,0.5503731456787718,fdr_bh,0.815,-0.42231763038854436,-0.7951527785309612,0.07622723816932564
condition,2 to 5,4 to 5,True,True,-0.23172504839674696,23.0,two-sided,0.8188008332507024,0.8375676904787995,fdr_bh,0.22,-0.05142459267878012,-0.46979976586287087,0.37519841099724305
condition,2 to 5,6 to 5,True,True,-1.2449358333305827,23.0,two-sided,0.22569119076613475,0.5503731456787718,fdr_bh,0.427,-0.34725061922955813,-0.6831474650650913,0.17490453937067624
condition,2 to 5,Cardinality5,True,True,-1.0,23.0,two-sided,0.3277158061428588,0.5503731456787718,fdr_bh,0.336,-0.28850157369856233,-0.6307630106470665,0.22251472018320345
condition,3 to 5,4 to 5,True,True,1.4371372480601008,23.0,two-sided,0.16414473163809318,0.5503731456787718,fdr_bh,0.532,0.3785326905251866,-0.13789752832426388,0.7246063530067406
condition,3 to 5,6 to 5,True,True,0.31622776601683794,23.0,two-sided,0.7546816638103269,0.8375676904787995,fdr_bh,0.225,0.07313149337870385,-0.358152872470308,0.4872523173438885
condition,3 to 5,Cardinality5,True,True,0.48581986621419354,23.0,two-sided,0.6316911435634341,0.8375676904787995,fdr_bh,0.239,0.12478910524178168,-0.3241322837682325,0.5224674136235596
condition,4 to 5,6 to 5,True,True,-1.0857048855106557,23.0,two-sided,0.2888583911684387,0.5503731456787718,fdr_bh,0.364,-0.3021587804042001,-0.6490349414818899,0.20579777802390062
condition,4 to 5,Cardinality5,True,True,-0.994718272926267,23.0,two-sided,0.33022388740726305,0.5503731456787718,fdr_bh,0.335,-0.24296082028333574,-0.6296390140519801,0.2235469796366653
condition,6 to 5,Cardinality5,True,True,0.20734187759738137,23.0,two-sided,0.8375676904787995,0.8375676904787995,fdr_bh,0.219,0.05275136859085056,-0.38012853815941716,0.4647755052301157
