Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,2 to 5,3 to 5,True,True,-1.2668760410038022,21.0,two-sided,0.21907052134609845,0.7403082904527364,fdr_bh,0.451,-0.2353237955923203,-0.7214880462439799,0.18129028729243918
condition,2 to 5,4 to 5,True,True,-0.3735906188060694,21.0,two-sided,0.7124539129349563,0.8651274214817875,fdr_bh,0.238,-0.08612225392138662,-0.5187205984651568,0.3477233586601977
condition,2 to 5,6 to 5,True,True,-0.2546147081813797,21.0,two-sided,0.8014974371194732,0.8651274214817875,fdr_bh,0.23,-0.0545216740493429,-0.4765638837600472,0.3685773312147329
condition,2 to 5,Cardinality5,True,True,0.39336844561387807,21.0,two-sided,0.6980125786508247,0.8651274214817875,fdr_bh,0.239,0.08246019896248609,-0.3508974140295755,0.5154294920642732
condition,3 to 5,4 to 5,True,True,0.9406623452104418,21.0,two-sided,0.3575733826812163,0.7403082904527364,fdr_bh,0.331,0.14216426033094617,-0.24726125030014437,0.6483610219953738
condition,3 to 5,6 to 5,True,True,1.1435894152505381,21.0,two-sided,0.2656633109644143,0.7403082904527364,fdr_bh,0.398,0.20180582371398634,-0.2061019747106347,0.6937301398068515
condition,3 to 5,Cardinality5,True,True,1.9468833478401113,21.0,two-sided,0.06504774303038051,0.650477430303805,fdr_bh,1.094,0.32694210283600134,-0.047000923228111,0.8771547720687527
condition,4 to 5,6 to 5,True,True,0.1719444409240951,21.0,two-sided,0.8651274214817875,0.8651274214817875,fdr_bh,0.226,0.040524765090335445,-0.3822380861682945,0.4831773360264639
condition,4 to 5,Cardinality5,True,True,0.7798419107739831,21.0,two-sided,0.44418497427164183,0.7403082904527364,fdr_bh,0.293,0.16911692573685214,-0.2643942183447283,0.606784403489685
condition,6 to 5,Cardinality5,True,True,0.8548880893053101,21.0,two-sided,0.4022612562610255,0.7403082904527364,fdr_bh,0.309,0.14715146015403405,-0.2672131170334814,0.6037523100205945
