Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,2 to 5,3 to 5,True,True,1.0444781499243436,23.0,two-sided,0.3071182889308955,0.7328687164176205,fdr_bh,0.35,0.20153538132758328,-0.2138313523185814,0.6402377714520531
condition,2 to 5,4 to 5,True,True,0.7862950472842924,23.0,two-sided,0.43972122985057227,0.7328687164176205,fdr_bh,0.284,0.10447714191003907,-0.26447192211944026,0.5854755309734551
condition,2 to 5,6 to 5,True,True,-0.5293627581436625,23.0,two-sided,0.6016264128080995,0.7793166141308934,fdr_bh,0.244,-0.1024134288043557,-0.5315494829781412,0.31543804193075564
condition,2 to 5,Cardinality5,True,True,-0.31917252681128727,23.0,two-sided,0.7524764508782749,0.822815397608762,fdr_bh,0.225,-0.059407426246954616,-0.4878616356616464,0.3575599972279069
condition,3 to 5,4 to 5,True,True,-0.4976529814689719,23.0,two-sided,0.6234532913047147,0.7793166141308934,fdr_bh,0.24,-0.10391141487645546,-0.524933898290688,0.3217679193617357
condition,3 to 5,6 to 5,True,True,-1.4095673868584913,23.0,two-sided,0.1720464410155169,0.7328687164176205,fdr_bh,0.514,-0.30564119676613793,-0.7186405274155663,0.14318705143697247
condition,3 to 5,Cardinality5,True,True,-1.9388443760738119,23.0,two-sided,0.06488626855611167,0.6488626855611166,fdr_bh,1.061,-0.27837404806611915,-0.8342510272335852,0.04272112522597643
condition,4 to 5,6 to 5,True,True,-0.9761811510255426,23.0,two-sided,0.33913105529895726,0.7328687164176205,fdr_bh,0.329,-0.21143771994381566,-0.6256960403957916,0.22717175430656772
condition,4 to 5,Cardinality5,True,True,-0.852600691600306,23.0,two-sided,0.40267226267042533,0.7328687164176205,fdr_bh,0.298,-0.176143620196485,-0.5994847842092,0.2514120094150679
condition,6 to 5,Cardinality5,True,True,0.22649749500079622,23.0,two-sided,0.822815397608762,0.822815397608762,fdr_bh,0.22,0.051596922941002064,-0.37625495035788203,0.4687221654863044
