Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
2 to 5 - 3 to 5,-0.7618946356635535,0.5169622541614021,-1.4737916154042467,0.14053770652865039,0.5969481045792984
2 to 5 - 4 to 5,-0.7996271376507755,0.5505953650044867,-1.4522954395815872,0.14641947498209618,0.5969481045792984
2 to 5 - 5 to 5,-0.10901740175656376,0.49204036448336547,-0.22156190757038863,0.8246549388102131,0.9692541095163499
2 to 5 - 6 to 5,-2.029838709526,0.5019285489346206,-4.04407901051749,5.252920386134008e-05,0.0005251678867285469
3 to 5 - 4 to 5,-0.037732501987222,0.5974689644463796,-0.06315391130346877,0.9496439449263583,0.9692541095163499
3 to 5 - 5 to 5,0.6528772339069898,0.562048193839744,1.1616036508305971,0.24539649844143674,0.6757535242306956
3 to 5 - 6 to 5,-1.2679440738624463,0.5579818674048351,-2.2723750500345723,0.02306386734686372,0.17028416113582623
4 to 5 - 5 to 5,0.6906097358942118,0.6208359562438663,1.1123868212667407,0.26597186847864585,0.6757535242306956
4 to 5 - 6 to 5,-1.2302115718752245,0.5860827807723205,-2.099040634249811,0.03581331889254469,0.2253100960468808
5 to 5 - 6 to 5,-1.9208213077694363,0.5718783396361925,-3.358793601085487,0.0007828351297693992,0.007023494509009291
