Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
2 to 5 - 3 to 5,8.929432855180726,4.04006809309325,2.2102184045972275,0.02709000826129304,0.21899471559839048
2 to 5 - 4 to 5,3.000909052828404,4.057058566450377,0.7396760494522452,0.45949658413810224,0.8420952011238337
2 to 5 - 5 to 5,2.1340232016993936,3.990020852852899,0.5348401124704771,0.5927604229433903,0.8420952011238337
2 to 5 - 6 to 5,-5.266262896287192,4.613976489555488,-1.1413718531527555,0.2537152125904316,0.6898167404313978
3 to 5 - 4 to 5,-5.928523802352323,4.118075583575685,-1.4396345288069345,0.14997082536400685,0.5562185355609885
3 to 5 - 5 to 5,-6.795409653481332,4.056299809126757,-1.6752730254779302,0.09388067540624534,0.5069928426131264
3 to 5 - 6 to 5,-14.19569575146792,4.753449906379085,-2.9863985170891207,0.0028228451310901015,0.02787255680881549
4 to 5 - 5 to 5,-0.8668858511290103,4.055337092026228,-0.21376419061032365,0.8307309512119059,0.8420952011238337
4 to 5 - 6 to 5,-8.267171949115596,4.793819678893529,-1.724547960265322,0.08460896869260126,0.5069928426131264
5 to 5 - 6 to 5,-7.400286097986585,4.744743358683308,-1.5596810066541102,0.11883528272955601,0.5318957378959918
