Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
2 to 5 - 3 to 5,-0.9742805666888509,1.8415701172760928,-0.5290488575748237,0.596771557691512,0.9730563629615876
2 to 5 - 4 to 5,-0.8111305339693504,1.8305195059370931,-0.44311493613618197,0.6576826022390561,0.9730563629615876
2 to 5 - 5 to 5,-1.9849479811400335,1.8129135149435724,-1.0948939178722024,0.2735631139579102,0.8932457394494384
2 to 5 - 6 to 5,-4.1671904183358786,2.049927174602088,-2.032848029903683,0.04206787894263453,0.34935010925607474
3 to 5 - 4 to 5,0.16315003271950046,1.7986326442793645,0.09070781253659928,0.9277247627198784,0.9730563629615876
3 to 5 - 5 to 5,-1.0106674144511825,1.8054090471064839,-0.5597996842161459,0.5756160790699549,0.9730563629615876
3 to 5 - 6 to 5,-3.192909851647028,2.0806556038751745,-1.5345691260486862,0.1248897012668031,0.6560444203910412
4 to 5 - 5 to 5,-1.173817447170683,1.8012256982982842,-0.6516770487338994,0.5146095315631496,0.9730563629615876
4 to 5 - 6 to 5,-3.356059884366528,2.0719489594053164,-1.6197599217549128,0.10528385866217049,0.632576058541807
5 to 5 - 6 to 5,-2.1822424371958453,2.058596907656586,-1.0600630114032434,0.28911593392368706,0.8932457394494384
