Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,2 to 5,3 to 5,True,True,-0.850177667212789,13.0,two-sided,0.4106115725322699,0.5865879607603856,fdr_bh,0.368,-0.1890533747070607,-0.6674471026991058,0.229853118066732
condition,2 to 5,4 to 5,True,True,2.2134234230415832,13.0,two-sided,0.04536441475291021,0.09072882950582042,fdr_bh,1.697,0.5173948929627965,-0.12114792984861406,0.790063426804495
condition,2 to 5,5 to 5,True,True,-0.6009079781126686,13.0,two-sided,0.558233532699338,0.6977919158741724,fdr_bh,0.316,-0.13600682511692447,-0.5121662847957669,0.3540489269145128
condition,2 to 5,6 to 5,True,True,1.657883266539218,13.0,two-sided,0.12126189389302752,0.2021031564883792,fdr_bh,0.813,0.5328340937170993,-0.1410717901849315,1.0185684716185426
condition,3 to 5,4 to 5,True,True,2.9160207087090484,13.0,two-sided,0.012032095370911287,0.06016047685455644,fdr_bh,4.881,0.7256221670944404,0.09045457698691162,1.0751147554938956
condition,3 to 5,5 to 5,True,True,0.2860110029298965,13.0,two-sided,0.7793764861568417,0.7793764861568417,fdr_bh,0.28,0.06149831046641211,-0.24599191593305678,0.6497476485271054
condition,3 to 5,6 to 5,True,True,3.678357539905899,13.0,two-sided,0.0027825622217700374,0.027825622217700373,fdr_bh,16.436,0.9181943394393148,0.2799008942589776,1.6862639143673839
condition,4 to 5,5 to 5,True,True,-2.5906624827107185,13.0,two-sided,0.022399228722260304,0.06027095102142004,fdr_bh,2.956,-0.6765913948101753,-0.849219389486026,0.07052322806309297
condition,4 to 5,6 to 5,True,True,-0.47421920572005155,13.0,two-sided,0.6432099098673292,0.7146776776303657,fdr_bh,0.298,-0.15385866255621575,-0.7064372311366744,0.45295640341774557
condition,5 to 5,6 to 5,True,True,2.5518433078834812,13.0,two-sided,0.02410838040856802,0.06027095102142004,fdr_bh,2.788,0.8251114890970938,0.040992182932849786,1.3230254403288466
