Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,2 to 5,3 to 5,True,True,0.913163656753484,13.0,two-sided,0.37778100318335994,0.6277213644416724,fdr_bh,0.386,0.24333243955620557,-0.04083277041194722,0.8845274507776648
condition,2 to 5,4 to 5,True,True,0.4209181171306249,13.0,two-sided,0.6806902908415504,0.7563225453795004,fdr_bh,0.292,0.10202758894896351,-0.36706759998906285,0.5209948969626632
condition,2 to 5,5 to 5,True,True,0.067314155558212,13.0,two-sided,0.9473558922488625,0.9473558922488625,fdr_bh,0.27,0.013370134710596332,-0.3596848072443743,0.5063418781450184
condition,2 to 5,6 to 5,True,True,-0.768921891945085,13.0,two-sided,0.4556829869973321,0.6277213644416724,fdr_bh,0.349,-0.21585632071730243,-0.7579653075002326,0.36048105572725553
condition,3 to 5,4 to 5,True,True,-0.7468647220157455,13.0,two-sided,0.4684386119535563,0.6277213644416724,fdr_bh,0.344,-0.14689200416157427,-0.7030834459559099,0.22046364724022277
condition,3 to 5,5 to 5,True,True,-1.3310191317294515,13.0,two-sided,0.2060557455947464,0.6277213644416724,fdr_bh,0.562,-0.24287987856029752,-0.8636908360681033,0.058307876706566564
condition,3 to 5,6 to 5,True,True,-1.6137932097584176,13.0,two-sided,0.130571999265508,0.6277213644416724,fdr_bh,0.771,-0.43939501946742426,-1.03494194702818,0.17233319216843546
condition,4 to 5,5 to 5,True,True,-0.6902461811382344,13.0,two-sided,0.5021770915533379,0.6277213644416724,fdr_bh,0.332,-0.0942832065845265,-0.43161592403250937,0.45516513337056597
condition,4 to 5,6 to 5,True,True,-1.0552405845744353,13.0,two-sided,0.3105326943323602,0.6277213644416724,fdr_bh,0.433,-0.3136437472770166,-0.8707767629415621,0.3067269446420497
condition,5 to 5,6 to 5,True,True,-0.8294710869720311,13.0,two-sided,0.42180816675558996,0.6277213644416724,fdr_bh,0.363,-0.23904062836418094,-0.8061190227110804,0.36274807704189316
