Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,Landing on 1,Landing on 2,True,True,1.707481466296627,23.0,two-sided,0.10119826233291239,0.21685341928481225,fdr_bh,0.756,0.3570929856643471,-0.08635974684044523,0.7834361364547733
condition,Landing on 1,Landing on 3,True,True,3.9541824858160446,23.0,two-sided,0.0006302926498190113,0.00945438974728517,fdr_bh,52.613,0.7213399624514503,0.32094708291564417,1.2933411571009044
condition,Landing on 1,Landing on 4,True,True,2.484600503401718,23.0,two-sided,0.02068407670381882,0.062052230111456455,fdr_bh,2.648,0.42294922995190637,0.05857159139338153,0.9557623166060232
condition,Landing on 1,Landing on 5,True,True,3.0869565217391304,23.0,two-sided,0.005205936095496083,0.026029680477480412,fdr_bh,8.413,0.6682718907219783,0.16784042611029892,1.0924042966259737
condition,Landing on 1,Landing on 6,True,True,3.1978358066282655,23.0,two-sided,0.003999300002677445,0.026029680477480412,fdr_bh,10.541,0.6861613485411151,0.18768217894323075,1.117828822296887
condition,Landing on 2,Landing on 3,True,True,1.3755384529013899,23.0,two-sided,0.18221438051434233,0.2929289806164097,fdr_bh,0.494,0.2683804981966178,-0.14972448247101822,0.7112857043353176
condition,Landing on 2,Landing on 4,True,True,0.21760602953410768,23.0,two-sided,0.8296550252521318,0.8810349154384718,fdr_bh,0.219,0.0439320204614555,-0.3780525532831623,0.46688984283509066
condition,Landing on 2,Landing on 5,True,True,1.5479137824771836,23.0,two-sided,0.13529390149543732,0.253676065303945,fdr_bh,0.611,0.2872715194654444,-0.11670719362106768,0.7486403491028297
condition,Landing on 2,Landing on 6,True,True,1.887899533584987,23.0,two-sided,0.07171984648293092,0.1792996162073273,fdr_bh,0.982,0.2766713969359239,-0.052293630585479756,0.823025387739075
condition,Landing on 3,Landing on 4,True,True,-2.8919952219248852,23.0,two-sided,0.008223215407585175,0.030837057778444404,fdr_bh,5.709,-0.22977751075253797,-1.047900620189815,-0.13275148519067947
condition,Landing on 3,Landing on 5,True,True,0.2830889839296112,23.0,two-sided,0.7796409410322125,0.8810349154384718,fdr_bh,0.223,0.053032288046494076,-0.36483002147429766,0.4804006152127134
condition,Landing on 3,Landing on 6,True,True,0.15132998169159548,23.0,two-sided,0.8810349154384718,0.8810349154384718,fdr_bh,0.217,0.028179588609433853,-0.39147358200128024,0.45325378832280183
condition,Landing on 4,Landing on 5,True,True,1.2338989503172446,23.0,two-sided,0.22970100820262418,0.313228647549033,fdr_bh,0.422,0.2528468111238223,-0.1770389754835538,0.6807761125557239
condition,Landing on 4,Landing on 6,True,True,1.333930143413501,23.0,two-sided,0.19528598707760647,0.2929289806164097,fdr_bh,0.471,0.24043060539049488,-0.15773108246979856,0.702305783116576
condition,Landing on 5,Landing on 6,True,True,-0.16350481368811856,23.0,two-sided,0.8715492168587459,0.8810349154384718,fdr_bh,0.217,-0.024912150018906235,-0.45575582113641433,0.38900526046562744
