Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,2a,2b,True,True,0.34028987175345804,16.0,two-sided,0.7380649135918136,0.8346354661532052,fdr_bh,0.262,0.10093676408581335,-0.4422420458180707,0.44450856176736486
condition,2a,2c,True,True,0.8926281574857379,16.0,two-sided,0.3852851521836256,0.8346354661532052,fdr_bh,0.353,0.3188692049422769,-0.18762812740390072,0.6908165238514417
condition,2a,2d,True,True,0.6964048081997176,16.0,two-sided,0.4961686912823906,0.8346354661532052,fdr_bh,0.308,0.2293017727976931,-0.3189431510230029,0.6516730911848654
condition,2a,2e,True,True,1.2153916306042978,16.0,two-sided,0.2418470817279048,0.8346354661532052,fdr_bh,0.469,0.46002613598016834,-0.14727374896406387,0.7860430373937337
condition,2b,2c,True,True,0.8166491869612801,16.0,two-sided,0.42612164088102833,0.8346354661532052,fdr_bh,0.334,0.2329522203589791,-0.19262810774164765,0.6852567418172403
condition,2b,2d,True,True,0.4595553702508767,16.0,two-sided,0.652017843809887,0.8346354661532052,fdr_bh,0.274,0.15028075558769896,-0.39722357219447024,0.5399969973575305
condition,2b,2e,True,True,1.3150652305530701,16.0,two-sided,0.20702467298038046,0.8346354661532052,fdr_bh,0.52,0.3748379183857854,-0.06040684020997533,0.8881681744772121
condition,2c,2d,True,True,-0.15065460020518454,16.0,two-sided,0.8821311571250241,0.8821311571250241,fdr_bh,0.252,-0.05287847529177944,-0.49749252415802636,0.4387382191160747
condition,2c,2e,True,True,0.322604685860533,16.0,two-sided,0.7511719195378846,0.8346354661532052,fdr_bh,0.261,0.1202993707427661,-0.3956267462134621,0.4916342779360165
condition,2d,2e,True,True,0.5299468023747942,16.0,two-sided,0.603425928710367,0.8346354661532052,fdr_bh,0.282,0.1622133017408999,-0.3540855400751366,0.6457655646160197
