Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
3a - 3b,0.6569620640345258,5.841051578686757,0.11247325163703323,0.9104481772521447,0.9990568289856637
3a - 3c,3.807084594131708,5.834516193429675,0.6525107597471262,0.5140717339873908,0.9780423999176058
3a - 3d,-11.20055656870106,6.577954141692274,-1.7027416621392795,0.0886164245041825,0.477714001071298
3a - 3e,0.6595522462573183,5.35255575607714,0.12322192917065486,0.9019313609300206,0.9990568289856637
3b - 3c,3.1501225300971822,4.368291777497678,0.721133726992406,0.4708272419618209,0.9780423999176058
3b - 3d,-11.857518632735585,6.040952539299463,-1.9628557840169092,0.04966293374411901,0.33469414108744605
3b - 3e,0.002590182222792503,4.524791431465473,0.0005724423461334226,0.9995432571150153,0.9995432571150153
3c - 3d,-15.007641162832769,6.0346415840087975,-2.4869150808560914,0.012885615285283869,0.12163543516405574
3c - 3e,-3.1475323478743897,4.539017686088458,-0.6934391019275374,0.4880340305922073,0.9780423999176058
3d - 3e,11.860108814958378,5.739946522414558,2.066240298345031,0.03880579549959351,0.29967393217707394
