Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
3a - 3b,-5.673220565374498,4.560942483743138,-1.243870227611053,0.21354732841961566,0.8849058291316682
3a - 3c,-3.8323048652733847,3.7054614226693046,-1.034231483784469,0.30102795896777,0.9430257739842863
3a - 3d,-2.566694300379403,5.168729490420328,-0.49658127884937464,0.6194843576965519,0.9960340225345905
3a - 3e,-5.797729684799041,4.0147927421963265,-1.4440919013984626,0.1487131258590788,0.8001245883249262
3b - 3c,1.8409157001011134,4.67346863847293,0.3939077893764658,0.6936491192808267,0.9960340225345905
3b - 3d,3.106526264995095,5.787756859614448,0.5367409758816365,0.5914465476673143,0.9960340225345905
3b - 3e,-0.1245091194245429,4.982947476760243,-0.024987042308841443,0.9800652991225647,0.9960340225345905
3c - 3d,1.2656105648939815,5.1256328651329985,0.2469179120305843,0.8049717536620593,0.9960340225345905
3c - 3e,-1.9654248195256563,3.9007232428966314,-0.5038616423517795,0.6143586068072988,0.9960340225345905
3d - 3e,-3.231035384419638,5.353551918711776,-0.6035311571606315,0.5461553947388422,0.9960340225345905
