Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
3a - 3b,-0.5182889241026677,0.8248779633178833,-0.6283219423367413,0.5297930602530536,0.8960398006389136
3a - 3c,-1.428363058330387,0.6964737633729593,-2.0508497713007223,0.04028157889346273,0.3092920134857183
3a - 3d,1.374156938158637,0.9423598468761482,1.4582082871143796,0.14478314026154715,0.5754975099815391
3a - 3e,-0.326797404240654,0.7482368688277837,-0.43675661793120035,0.662287863738702,0.8960398006389136
3b - 3c,-0.9100741342277193,0.849939628371239,-1.0707515026352137,0.2842811784396333,0.7375964218798383
3b - 3d,1.8924458622613045,1.055738782686669,1.7925322942530948,0.07304774089721566,0.4549216435593925
3b - 3e,0.19149151986201368,0.9050104781675357,0.21159038981487321,0.8324266074017308,0.8960398006389136
3c - 3d,2.802519996489024,0.9432037457427307,2.9712774245634117,0.002965637517443609,0.02926371365926595
3c - 3e,1.101565654089733,0.7333630476237651,1.502074119576946,0.13307796786611648,0.5754975099815391
3d - 3e,-1.700954342399291,0.971967294897771,-1.7500119102034117,0.0801162585882178,0.4549216435593925
