Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,3a,3b,True,True,2.4654409223197566,15.0,two-sided,0.02623284536495805,0.17884031149718663,fdr_bh,2.498,0.6717862662362816,0.09606249317909121,1.1493410512201832
condition,3a,3c,True,True,0.7895629608911476,15.0,two-sided,0.4420859591086078,0.6706259792961752,fdr_bh,0.335,0.3055050463303894,-0.4110092597043399,0.47597494265421914
condition,3a,3d,True,True,0.9085505039540194,15.0,two-sided,0.37795400684974567,0.6706259792961752,fdr_bh,0.366,0.2764081161156655,-0.3340933837953177,0.6062589107712264
condition,3a,3e,True,True,2.3065552333154686,15.0,two-sided,0.035768062299437325,0.17884031149718663,fdr_bh,1.953,0.5125210774178162,-0.20846662998876403,0.6677250420698031
condition,3b,3c,True,True,-1.1770048063351848,15.0,two-sided,0.2575334060115659,0.6438335150289146,fdr_bh,0.461,-0.3874740997010947,-0.8796572698068392,0.11859843768155337
condition,3b,3d,True,True,-1.5343029697920942,15.0,two-sided,0.14577501343755717,0.4859167114585239,fdr_bh,0.678,-0.3984008260405195,-0.935690394966423,0.16853891007037586
condition,3b,3e,True,True,-0.6371416263470436,15.0,two-sided,0.5336370963553052,0.6706259792961752,fdr_bh,0.305,-0.19983051870329388,-0.6373499087610969,0.33221262999607737
condition,3c,3d,True,True,-0.06589031801928921,15.0,two-sided,0.9483353265170557,0.9483353265170557,fdr_bh,0.256,-0.02026545982991897,-0.4436173777260122,0.520709767672048
condition,3c,3e,True,True,0.5203442348519702,15.0,two-sided,0.6104186080447908,0.6782428978275453,fdr_bh,0.288,0.20345834338803767,-0.31345251738833296,0.5545486701511638
condition,3d,3e,True,True,0.6326298342368015,15.0,two-sided,0.5365007834369402,0.6706259792961752,fdr_bh,0.305,0.21878979299869894,-0.4327822085801893,0.503539452840288
