Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,3a,3b,True,True,-1.4575414660799426,15.0,two-sided,0.16558397021952898,0.9317535961204435,fdr_bh,0.62,-0.2659200469413693,-0.5673409719549269,0.3983472557323121
condition,3a,3c,True,True,-0.0014284518446929539,15.0,two-sided,0.998879085208153,0.998879085208153,fdr_bh,0.255,-0.00048792259356132445,-0.2472126282064375,0.6484141223677494
condition,3a,3d,True,True,-0.20728088659835592,15.0,two-sided,0.8385782365083991,0.9317535961204435,fdr_bh,0.26,-0.0804236852986127,-0.44709198393376015,0.48903976396549853
condition,3a,3e,True,True,-0.8152561261853457,15.0,two-sided,0.42768139682328987,0.9317535961204435,fdr_bh,0.341,-0.18175326271994657,-0.483123306762731,0.3822909503319481
condition,3b,3c,True,True,0.8510907777867752,15.0,two-sided,0.408100751942831,0.9317535961204435,fdr_bh,0.35,0.2904444588643825,-0.3146813511049969,0.6562932063312066
condition,3b,3d,True,True,0.6107201787742429,15.0,two-sided,0.5505274235445634,0.9317535961204435,fdr_bh,0.301,0.22012705261222457,-0.38327876007216827,0.6886388494592897
condition,3b,3e,True,True,0.2602391271919729,15.0,two-sided,0.7982177397774151,0.9317535961204435,fdr_bh,0.263,0.07805945404230101,-0.47572838109624804,0.4882502088577845
condition,3c,3d,True,True,-0.3009994657480124,15.0,two-sided,0.7675470157461642,0.9317535961204435,fdr_bh,0.266,-0.09435223431281956,-0.5311798157854999,0.433365586170104
condition,3c,3e,True,True,-0.5548768992702986,15.0,two-sided,0.5871583749812272,0.9317535961204435,fdr_bh,0.293,-0.19905926317752284,-0.6159169441397985,0.2559248661280292
condition,3d,3e,True,True,-0.35465232075156916,15.0,two-sided,0.727786859760155,0.9317535961204435,fdr_bh,0.27,-0.12878711572600693,-0.5940977262942795,0.34553847599239307
