Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
5a3 - 5b3,-1.0694291439533359,3.751043952014006,-0.28510173637905234,0.7755661997974552,0.998700884774663
5a3 - 5c3,-2.7711799852761434,3.7227452073820966,-0.7443915258505936,0.45663964417271163,0.9958715071414964
5a3 - 5d3,0.8276513984399154,3.709732551786932,0.2231027134398802,0.8234555665581802,0.998700884774663
5a3 - 5e3,-1.7615834639184906,3.9906923699256476,-0.4414230165156307,0.6589067824227692,0.998700884774663
5b3 - 5c3,-1.7017508413228075,3.7609042282786045,-0.4524844925662232,0.6509199903695757,0.998700884774663
5b3 - 5d3,1.8970805423932513,3.751127060865295,0.5057361458600234,0.6130418899548988,0.998700884774663
5b3 - 5e3,-0.6921543199651548,4.020001828016402,-0.17217761323921735,0.8632978970891205,0.998700884774663
5c3 - 5d3,3.5988313837160586,3.7233986795910217,0.9665447332949462,0.3337716741689758,0.9827721558158609
5c3 - 5e3,1.0095965213576528,3.9586386904060626,0.255036289066859,0.79869507111864,0.998700884774663
5d3 - 5e3,-2.5892348623584063,3.991793524122101,-0.648639476644235,0.5165714329213835,0.9970169640755929
