Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,5a3,5b3,True,True,1.6763648107429017,18.0,two-sided,0.11094842211508008,0.22189684423016015,fdr_bh,0.773,0.4288205103936914,-0.1411270021755449,0.7431091568882442
condition,5a3,5c3,True,True,0.0028211051276889596,18.0,two-sided,0.997780117705367,0.997780117705367,fdr_bh,0.238,0.0007955051638179976,-0.44657291124125653,0.39807714945471295
condition,5a3,5d3,True,True,1.4673381621908406,18.0,two-sided,0.1595399127388536,0.265899854564756,fdr_bh,0.595,0.29155105105398554,-0.3561709278898176,0.4892898341457062
condition,5a3,5e3,True,True,3.271776491423594,18.0,two-sided,0.004237088278820063,0.04237088278820063,fdr_bh,10.702,0.8742670910906439,0.20493215528606612,1.296261854394725
condition,5b3,5c3,True,True,-1.893555756689825,18.0,two-sided,0.07447242050095663,0.18618105125239157,fdr_bh,1.041,-0.40478357005354576,-0.7065697008360248,0.1735201611511143
condition,5b3,5d3,True,True,-1.0120870734472331,18.0,two-sided,0.3249086554325672,0.40613581929070897,fdr_bh,0.372,-0.23970935954876932,-0.6958889230769403,0.18307597373205603
condition,5b3,5e3,True,True,0.8520193620464417,18.0,two-sided,0.40539720624310227,0.4504413402701136,fdr_bh,0.328,0.24013742316632997,-0.2910999660564535,0.6820332604880781
condition,5c3,5d3,True,True,1.0284730628192957,18.0,two-sided,0.3173503052402896,0.40613581929070897,fdr_bh,0.378,0.25828312499613243,-0.34880240658351613,0.4968801047136452
condition,5c3,5e3,True,True,2.6382414508417673,18.0,two-sided,0.016698478967412552,0.07884639092112536,fdr_bh,3.407,0.7988565966270553,0.08098286935379462,1.1295253277914046
condition,5d3,5e3,True,True,2.471768602661953,18.0,two-sided,0.023653917276337606,0.07884639092112536,fdr_bh,2.567,0.6508474507358458,0.047774837073327414,1.0863503788024826
