Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,5a3,5b3,True,True,1.0593098718411684,3.0,two-sided,0.3671975610337104,0.8621820976576274,fdr_bh,0.636,0.35752774291867445,-0.8709322554196668,0.4161301582149199
condition,5a3,5c3,True,True,-0.484543711852349,3.0,two-sided,0.661174975961546,0.8621820976576274,fdr_bh,0.471,-0.21107926341908756,-0.46148562122137826,0.8193866671277072
condition,5a3,5d3,True,True,-0.4399413450640599,3.0,two-sided,0.689745678126102,0.8621820976576274,fdr_bh,0.463,-0.22549380840084865,-0.4796224113489952,0.5868681862704267
condition,5a3,5e3,True,True,0.0,3.0,two-sided,1.0,1.0,fdr_bh,0.428,0.0,-0.8531838467723708,0.4315941392271331
condition,5b3,5c3,True,True,-1.507556722888818,3.0,two-sided,0.22877780406977116,0.8621820976576274,fdr_bh,0.855,-0.5222329678670935,-0.9962788658694569,0.5592965156398154
condition,5b3,5d3,True,True,-0.989159571394798,3.0,two-sided,0.3955090396473254,0.8621820976576274,fdr_bh,0.609,-0.5024280406408992,-0.45102527945701026,0.7649855665374135
condition,5b3,5e3,True,True,-0.9271726499455306,3.0,two-sided,0.42222518228891237,0.8621820976576274,fdr_bh,0.587,-0.3917201506294842,-1.3199668502205064,0.3120615888625671
condition,5c3,5d3,True,True,-0.08304547985373997,3.0,two-sided,0.9390462021540998,1.0,fdr_bh,0.429,-0.057928444636349226,-0.7374642690380564,0.47626614793386296
condition,5c3,5e3,True,True,0.6,3.0,two-sided,0.590801208053989,0.8621820976576274,fdr_bh,0.494,0.2553769592276246,-0.6771531060177767,1.0061628667854663
condition,5d3,5e3,True,True,0.4803844614152614,3.0,two-sided,0.6638080120323688,0.8621820976576274,fdr_bh,0.47,0.2526455763199557,-0.804307553623917,0.475014773654846
