Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
a - b,-0.45259456649403,0.24858826393729197,-1.8206594282672974,0.06865864308210967,0.4727944214622374
a - c,-0.22992839500586626,0.2572937866204482,-0.8936414595392056,0.3715137562369315,0.8824783160282931
a - d,-0.5109036072544257,0.2660406737643638,-1.9203966071253478,0.054807821793544154,0.43088348245880764
a - e,-0.12533409917006685,0.26467879565047453,-0.4735328300933432,0.6358330843815199,0.9517050786159716
b - c,0.22266617148816376,0.23742918169220575,0.9378214164795454,0.3483361930789268,0.8824783160282931
b - d,-0.058309040760395725,0.25865784048257423,-0.22542924139322196,0.8216453656714264,0.9517050786159716
b - e,0.3272604673239632,0.25025204520471545,1.3077234475996071,0.19096712738764499,0.7731372576847166
c - d,-0.2809752122485595,0.2705242639799748,-1.0386322029485617,0.29897582297538916,0.8813144142747728
c - e,0.1045942958357994,0.26038257892118183,0.4016946766145221,0.6879087427499821,0.9517050786159716
d - e,0.38556950808435886,0.27210835404658124,1.4169704911682153,0.1564915551445969,0.7437195491228707
