Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,a,b,True,True,-0.8924496798673899,23.0,two-sided,0.3813945459207758,0.728387474126968,fdr_bh,0.307,-0.2165363741530188,-0.6079223966268981,0.2435813404960144
condition,a,c,True,True,-0.8955106609773423,23.0,two-sided,0.3797910524728204,0.728387474126968,fdr_bh,0.308,-0.21963099991373497,-0.6085710918436817,0.24298039540751773
condition,a,d,True,True,-1.7335897246272927,23.0,two-sided,0.09637822609332763,0.5210775134379056,fdr_bh,0.784,-0.33290147279048765,-0.7891489819234299,0.0814139404786185
condition,a,e,True,True,-0.22889255021607657,23.0,two-sided,0.8209754641390355,0.9121949601544839,fdr_bh,0.22,-0.04526518450615541,-0.46921584895011037,0.3757708566244832
condition,b,c,True,True,0.06014084219157977,23.0,two-sided,0.9525629846513983,0.9525629846513983,fdr_bh,0.215,0.016051514507417118,-0.4100026774877903,0.4345550734995597
condition,b,d,True,True,-0.43430317390266066,23.0,two-sided,0.6681154617386422,0.8351443271733028,fdr_bh,0.234,-0.10604790495211708,-0.51174357264438,0.334440044355589
condition,b,e,True,True,0.8678594200309174,23.0,two-sided,0.3944364799670288,0.728387474126968,fdr_bh,0.301,0.15926546732075866,-0.24841192599799536,0.6027140505885771
condition,c,d,True,True,-0.6940283803059908,23.0,two-sided,0.4946152446842216,0.728387474126968,fdr_bh,0.267,-0.13186986279130763,-0.5660443118743282,0.2827084120810036
condition,c,e,True,True,0.6694537739209419,23.0,two-sided,0.5098712318888776,0.728387474126968,fdr_bh,0.263,0.15629646050694102,-0.2875780080902083,0.5608813668380143
condition,d,e,True,True,1.6916711122655412,23.0,two-sided,0.10421550268758115,0.5210775134379056,fdr_bh,0.74,0.26628293163530464,-0.08935744170954368,0.7799792813190525
