Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,a,b,True,True,0.6971273680842286,23.0,two-sided,0.49271001233185585,0.5474555692576176,fdr_bh,0.268,0.06694221053959387,-0.28209470200897546,0.566695758264934
condition,a,c,True,True,-0.7862122952902749,23.0,two-sided,0.43976873853905285,0.5474555692576176,fdr_bh,0.284,-0.09198225365252198,-0.585458070566059,0.26448824507213436
condition,a,d,True,True,2.1838732108394914,23.0,two-sided,0.03942745568939741,0.19713727844698703,fdr_bh,1.57,0.2611116356207513,0.003036878364286788,0.8885256265507631
condition,a,e,True,True,0.7188227954496692,23.0,two-sided,0.4794899808122135,0.5474555692576176,fdr_bh,0.271,0.10914445904974235,-0.2778005638489047,0.5712587412376873
condition,b,c,True,True,-1.4367742695633587,23.0,two-sided,0.16424683881304547,0.32849367762609094,fdr_bh,0.531,-0.15479895882692024,-0.7245277674986643,0.1379671281669576
condition,b,d,True,True,1.7171562456820704,23.0,two-sided,0.09938875755665189,0.32849367762609094,fdr_bh,0.766,0.181786409243486,-0.0845263699282987,0.785552471687349
condition,b,e,True,True,0.2560412365132902,23.0,two-sided,0.8001951250664957,0.8001951250664957,fdr_bh,0.221,0.034948347541304395,-0.3702870272930365,0.4748154243878408
condition,c,d,True,True,3.242901601548762,23.0,two-sided,0.0035904220601680067,0.03590422060168007,fdr_bh,11.563,0.3527882773750974,0.19572344330986252,1.1281855916649433
condition,c,e,True,True,1.4806913351351978,23.0,two-sided,0.15225864586046778,0.32849367762609094,fdr_bh,0.561,0.20382015949231638,-0.12955407458183643,0.7340437808554359
condition,d,e,True,True,-1.2109131438630902,23.0,two-sided,0.23822503526861344,0.39704172544768906,fdr_bh,0.412,-0.1606737073260192,-0.6758407326108845,0.18148751172855607
