Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
a - b,0.1820603979144232,1.0213824959737334,0.17824898961172836,0.8585274375605887,0.9998332764348836
a - c,-1.3728869524605603,1.010208464551605,-1.359013511206259,0.17414230731251323,0.7836077273929034
a - d,-0.020108974293501662,1.0009885823975537,-0.0200891145484766,0.9839722837264708,0.9998332764348836
a - e,0.28220706724162076,1.0405796605545707,0.2712017906358271,0.7862358358451123,0.9998332764348836
b - c,-1.5549473503749836,1.0261219998072006,-1.5153630374040754,0.12968049253821912,0.7135106634310884
b - d,-0.20216937220792486,1.0092897282319935,-0.20030856012185094,0.8412392682090499,0.9998332764348836
b - e,0.10014666932719757,1.0177326116230436,0.09840174932341732,0.9216132856640016,0.9998332764348836
c - d,1.3527779781670586,1.0090839716267956,1.340600005751926,0.18005035540137238,0.7836077273929034
c - e,1.655094019702181,1.0360485637033143,1.5975062151392918,0.11015291339000632,0.6887181285311927
d - e,0.3023160415351224,1.013121262543774,0.298400648285733,0.7653973943300791,0.9998332764348836
