Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,a,b,True,True,0.6741660511384656,21.0,two-sided,0.5075596591724261,0.6344495739655326,fdr_bh,0.274,0.07937931026287956,-0.2716937240763928,0.598940562675657
condition,a,c,True,True,-1.791838734215984,21.0,two-sided,0.08758130271919472,0.17635998415577334,fdr_bh,0.872,-0.28570505824264286,-0.8451177269895762,0.05302144565979522
condition,a,d,True,True,0.3130892815659787,21.0,two-sided,0.7573011071699771,0.807181307317699,fdr_bh,0.233,0.05024045366555919,-0.34762924264911316,0.49809078041042837
condition,a,e,True,True,1.7298692767813972,21.0,two-sided,0.09832580769919866,0.17635998415577334,fdr_bh,0.799,0.31197460023289086,-0.06505017352286863,0.8081348580345056
condition,b,c,True,True,-2.094597018865295,21.0,two-sided,0.04851437558163509,0.161714585272117,fdr_bh,1.375,-0.3295979403178748,-0.9115245401568148,0.018385370360000874
condition,b,d,True,True,-0.247164451969963,21.0,two-sided,0.807181307317699,0.807181307317699,fdr_bh,0.229,-0.038121574271867215,-0.5063870999239094,0.35964099560711643
condition,b,e,True,True,1.4281940365189651,21.0,two-sided,0.16794051129889315,0.23991501614127594,fdr_bh,0.542,0.20445103256960717,-0.1543154525462042,0.7281704087843452
condition,c,d,True,True,2.126081127480437,21.0,two-sided,0.045521444869810045,0.161714585272117,fdr_bh,1.446,0.349271921876513,0.023504952840053328,0.9368647912629435
condition,c,e,True,True,2.918284908265139,21.0,two-sided,0.008216984289460999,0.08216984289460998,fdr_bh,5.867,0.5795640337599569,0.16141105327352667,1.1095840392956557
condition,d,e,True,True,1.6900208265590704,21.0,two-sided,0.105815990493464,0.17635998415577334,fdr_bh,0.757,0.27635006844850357,-0.0804595556881888,0.7902527410651949
