Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,a,b,True,True,1.8743336126865935,23.0,two-sided,0.07364238777882605,0.166973595011305,fdr_bh,0.962,0.4909128393595612,-0.05484611150305846,0.8200396046413165
condition,a,c,True,True,0.18854359242415006,23.0,two-sided,0.8521042736888184,0.8521042736888184,fdr_bh,0.218,0.05633195525829542,-0.3839330013980232,0.4609056006830978
condition,a,d,True,True,-1.809348430921292,23.0,two-sided,0.0834867975056525,0.166973595011305,fdr_bh,0.874,-0.3889359899477492,-0.8057569641029829,0.06709356032589259
condition,a,e,True,True,0.8580872308662535,23.0,two-sided,0.39969836368079237,0.49962295460099043,fdr_bh,0.299,0.19354587414063057,-0.250333047132747,0.6006456922027652
condition,b,c,True,True,-1.4665481099434228,23.0,two-sided,0.15603947602355292,0.2229135371765042,fdr_bh,0.551,-0.39014743227233883,-0.7309774711888927,0.13226171242148088
condition,b,d,True,True,-3.3982323802460876,23.0,two-sided,0.0024690759352887495,0.024690759352887493,fdr_bh,15.966,-0.8753525894044293,-1.1639839413055337,-0.2233386185288757
condition,b,e,True,True,-1.4706470729691108,23.0,two-sided,0.15493598462601402,0.2229135371765042,fdr_bh,0.554,-0.27953269600983904,-0.731865973831789,0.1314768204164654
condition,c,d,True,True,-2.2879930164451463,23.0,two-sided,0.03165932980877671,0.10553109936258905,fdr_bh,1.873,-0.4087663655504617,-0.9117279801831354,-0.02234125737385273
condition,c,e,True,True,0.4658937358307509,23.0,two-sided,0.6456735103699849,0.7174150115222054,fdr_bh,0.237,0.12232683851750094,-0.3281164698505654,0.518316791041292
condition,d,e,True,True,2.8545024951123357,23.0,two-sided,0.008969474023634537,0.044847370118172684,fdr_bh,5.306,0.5663064312907636,0.12597369870380376,1.0393720650506388
