Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,Ratio 0.5 (1:2),Ratio 0.67 (2:3),True,True,0.01734855004421153,4.0,two-sided,0.986989403250996,0.986989403250996,fdr_bh,0.397,0.004723050007425036,-0.7287785246303359,0.615909145917454
condition,Ratio 0.5 (1:2),Ratio 0.75 (3:4),True,True,-0.8575466208526369,4.0,two-sided,0.4394851333971313,0.9631923892499559,fdr_bh,0.527,-0.14189313091306052,-1.0963420775198425,0.3795943271223484
condition,Ratio 0.5 (1:2),Ratio 0.8 (4:5),True,True,-0.481617452667199,4.0,two-sided,0.6552415398752367,0.9631923892499559,fdr_bh,0.437,-0.20985764068840476,-1.0741016194587776,0.3168391329058597
condition,Ratio 0.5 (1:2),Ratio 0.83 (5:6),True,True,0.2669708883013127,4.0,two-sided,0.8026903662598415,0.9742133535112423,fdr_bh,0.409,0.10515641664572967,-0.9193672482196873,0.5251744701796337
condition,Ratio 0.67 (2:3),Ratio 0.75 (3:4),True,True,-0.5767991046250228,4.0,two-sided,0.5949806318152584,0.9631923892499559,fdr_bh,0.454,-0.16409123681075952,-1.0867591819646791,0.6089708921897861
condition,Ratio 0.67 (2:3),Ratio 0.8 (4:5),True,True,-0.5382649520802771,4.0,two-sided,0.6189488839370061,0.9631923892499559,fdr_bh,0.447,-0.2438582165929675,-1.1234042517965226,0.4561337609028144
condition,Ratio 0.67 (2:3),Ratio 0.83 (5:6),True,True,0.4526957534807358,4.0,two-sided,0.674234672474969,0.9631923892499559,fdr_bh,0.432,0.12103529009946624,-0.40560326559542564,1.358843247306932
condition,Ratio 0.75 (3:4),Ratio 0.8 (4:5),True,True,-0.1652100654343728,4.0,two-sided,0.8767920181601181,0.9742133535112423,fdr_bh,0.402,-0.061336755154838135,-0.9689215447384594,0.7101058715505866
condition,Ratio 0.75 (3:4),Ratio 0.83 (5:6),True,True,0.8498892243935889,4.0,two-sided,0.4432643973414775,0.9631923892499559,fdr_bh,0.524,0.28325334548428155,-0.7479072262438734,0.9275018787643537
condition,Ratio 0.8 (4:5),Ratio 0.83 (5:6),True,True,1.121454381253445,4.0,two-sided,0.3248667636439459,0.9631923892499559,fdr_bh,0.626,0.38436134484386086,-0.6191697505550176,1.0743891688996747
