Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,Ratio 0.5 (1:2),Ratio 0.67 (2:3),True,True,0.9547227261098388,23.0,two-sided,0.3496454380292956,0.7891612220888806,fdr_bh,0.323,0.11470911797294334,-0.23137143019571396,0.6211353509970546
condition,Ratio 0.5 (1:2),Ratio 0.75 (3:4),True,True,-0.4204740699460471,23.0,two-sided,0.6780417470838194,0.7891612220888806,fdr_bh,0.233,-0.06801809178837455,-0.5088688226339237,0.3372110023940672
condition,Ratio 0.5 (1:2),Ratio 0.8 (4:5),True,True,-1.1703161750396827,23.0,two-sided,0.25385779539427483,0.7891612220888806,fdr_bh,0.395,-0.1866980669761402,-0.6671348427729713,0.18935526501081373
condition,Ratio 0.5 (1:2),Ratio 0.83 (5:6),True,True,-0.005520577272510688,23.0,two-sided,0.9956428436474636,0.9956428436474636,fdr_bh,0.215,-0.0012169347252629157,-0.42338998367553293,0.42113621744165675
condition,Ratio 0.67 (2:3),Ratio 0.75 (3:4),True,True,-0.9298040512814938,23.0,two-sided,0.36212940304560914,0.7891612220888806,fdr_bh,0.317,-0.16798238418470007,-0.6158441757924638,0.23625326139041983
condition,Ratio 0.67 (2:3),Ratio 0.8 (4:5),True,True,-1.899752656057638,23.0,two-sided,0.07007606400416982,0.7007606400416982,fdr_bh,1.0,-0.27138981258149864,-0.8256353838493872,0.05006460970967341
condition,Ratio 0.67 (2:3),Ratio 0.83 (5:6),True,True,-0.43762708314808835,23.0,two-sided,0.6657387295085533,0.7891612220888806,fdr_bh,0.234,-0.10475466207209508,-0.5124347856310937,0.3337742770751998
condition,Ratio 0.75 (3:4),Ratio 0.8 (4:5),True,True,-0.5643581538876008,23.0,two-sided,0.5779731693408316,0.7891612220888806,fdr_bh,0.248,-0.11632083674401544,-0.5388607219002525,0.30846247036629776
condition,Ratio 0.75 (3:4),Ratio 0.83 (5:6),True,True,0.37616049999665063,23.0,two-sided,0.7102450998799926,0.7891612220888806,fdr_bh,0.229,0.060399296307904894,-0.3461014515729221,0.49966833263658667
condition,Ratio 0.8 (4:5),Ratio 0.83 (5:6),True,True,0.6772910144053719,23.0,two-sided,0.5049774893715,0.7891612220888806,fdr_bh,0.264,0.17059229819960442,-0.28602444621924095,0.5625273449967696
