Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,Ratio 0.5 (1:2),Ratio 0.67 (2:3),True,True,-0.37650206248249757,9.0,two-sided,0.7152664703061853,0.9774663040189553,fdr_bh,0.328,-0.0278843856689229,-0.5551561566632723,0.44024097382801985
condition,Ratio 0.5 (1:2),Ratio 0.75 (3:4),True,True,0.19535489374126921,9.0,two-sided,0.8494543121840575,0.9774663040189553,fdr_bh,0.314,0.04290942497391507,-0.5576246647083501,0.47116081204584775
condition,Ratio 0.5 (1:2),Ratio 0.8 (4:5),True,True,-0.10749068731786224,9.0,two-sided,0.9167578026237524,0.9774663040189553,fdr_bh,0.31,-0.03646866162576511,-0.5869900237313059,0.47950400754084255
condition,Ratio 0.5 (1:2),Ratio 0.83 (5:6),True,True,2.2971711644569637,9.0,two-sided,0.04721743528672347,0.15739145095574492,fdr_bh,1.841,1.0041590936876723,0.01558380855503183,1.5516884789022591
condition,Ratio 0.67 (2:3),Ratio 0.75 (3:4),True,True,0.2666821627584685,9.0,two-sided,0.7957235243015437,0.9774663040189553,fdr_bh,0.318,0.06706939224239451,-0.5381412425146692,0.5275909442728359
condition,Ratio 0.67 (2:3),Ratio 0.8 (4:5),True,True,-0.029040190161003843,9.0,two-sided,0.9774663040189553,0.9774663040189553,fdr_bh,0.309,-0.009902832279603103,-0.48999480025624575,0.6187146261383769
condition,Ratio 0.67 (2:3),Ratio 0.83 (5:6),True,True,2.3528532140074048,9.0,two-sided,0.04310313587283797,0.15739145095574492,fdr_bh,1.973,1.0149209428892594,0.03302484665368155,1.5797129970554116
condition,Ratio 0.75 (3:4),Ratio 0.8 (4:5),True,True,-0.19507010999399702,9.0,two-sided,0.8496707040468836,0.9774663040189553,fdr_bh,0.314,-0.07325870414932419,-0.5185200508888983,0.6372627461145006
condition,Ratio 0.75 (3:4),Ratio 0.83 (5:6),True,True,1.6873697909980934,9.0,two-sided,0.1258054069773111,0.3145135174432777,fdr_bh,0.896,0.8603670620279796,-0.08863328967707629,1.2924058592550591
condition,Ratio 0.8 (4:5),Ratio 0.83 (5:6),True,True,4.157068544374076,9.0,two-sided,0.002458402697986202,0.02458402697986202,fdr_bh,19.392,0.9772018281355268,0.33789929982015654,2.2912616981124083
