Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,Ratio 0.5 (1:2),Ratio 0.67 (2:3),True,True,-0.5652924665785196,18.0,two-sided,0.5788534797879525,0.6010480252601529,fdr_bh,0.274,-0.16869448334121967,-0.4026954651556466,0.44191163916744935
condition,Ratio 0.5 (1:2),Ratio 0.75 (3:4),True,True,-1.2435402951336485,18.0,two-sided,0.22962182850512028,0.3827030475085338,fdr_bh,0.464,-0.3011028474769881,-0.42890450108063416,0.415630731846495
condition,Ratio 0.5 (1:2),Ratio 0.8 (4:5),True,True,0.9839943705377133,18.0,two-sided,0.33816079506329366,0.4830868500904196,fdr_bh,0.364,0.2999459143210775,-0.012711003075446259,0.8697319645284168
condition,Ratio 0.5 (1:2),Ratio 0.83 (5:6),True,True,1.5637974839345188,18.0,two-sided,0.1352755155661714,0.2705510311323428,fdr_bh,0.669,0.46943679996281373,-0.13849191275419603,0.8560114075577472
condition,Ratio 0.67 (2:3),Ratio 0.75 (3:4),True,True,-0.5322702162583327,18.0,two-sided,0.6010480252601529,0.6010480252601529,fdr_bh,0.27,-0.1288102282260148,-0.4477125783845019,0.39694936008121057
condition,Ratio 0.67 (2:3),Ratio 0.8 (4:5),True,True,1.6681395957118341,18.0,two-sided,0.11258998075748879,0.2705510311323428,fdr_bh,0.765,0.3935544071868427,-0.01983174091096057,0.8612735589586413
condition,Ratio 0.67 (2:3),Ratio 0.83 (5:6),True,True,1.7285461725820512,18.0,two-sided,0.10100499177598307,0.2705510311323428,fdr_bh,0.828,0.5370370266600172,-0.10401915834385633,0.8971305357679802
condition,Ratio 0.75 (3:4),Ratio 0.8 (4:5),True,True,2.0567862769352874,18.0,two-sided,0.05449765096174298,0.2705510311323428,fdr_bh,1.323,0.4882984155922685,0.06605448159388078,0.9649363014236949
condition,Ratio 0.75 (3:4),Ratio 0.83 (5:6),True,True,2.3462953351682803,18.0,two-sided,0.03061073736950525,0.2705510311323428,fdr_bh,2.086,0.6107919528405633,0.022560083597370273,1.0539940487920432
condition,Ratio 0.8 (4:5),Ratio 0.83 (5:6),True,True,0.6974377118277302,18.0,two-sided,0.49443967645883746,0.6010480252601529,fdr_bh,0.295,0.21936448515400483,-0.32505640207989595,0.6450627710558241
