Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,Ratio 0.5 (1:2),Ratio 0.67 (2:3),True,True,1.3660155634446665,18.0,two-sided,0.18875977956524195,0.43853747557484996,fdr_bh,0.53,0.10676092096328965,-0.30602300251615505,0.5414227423032403
condition,Ratio 0.5 (1:2),Ratio 0.75 (3:4),True,True,0.7816651881480854,18.0,two-sided,0.44457212230487264,0.5557151528810907,fdr_bh,0.312,0.19465927053360504,-0.24248255838918029,0.6091086128377227
condition,Ratio 0.5 (1:2),Ratio 0.8 (4:5),True,True,1.7936777729296465,18.0,two-sided,0.0896821252204947,0.298940417401649,fdr_bh,0.905,0.3904622813007728,-0.17464402919917765,0.6834370388995327
condition,Ratio 0.5 (1:2),Ratio 0.83 (5:6),True,True,2.514625302441167,18.0,two-sided,0.021639473625532302,0.21639473625532302,fdr_bh,2.758,0.5081734164657579,0.05635044725375693,1.09743877108429
condition,Ratio 0.67 (2:3),Ratio 0.75 (3:4),True,True,0.33683406529486287,18.0,two-sided,0.7401374674715899,0.7401374674715899,fdr_bh,0.25,0.08906899132400989,-0.30604449773269904,0.5414001555182133
condition,Ratio 0.67 (2:3),Ratio 0.8 (4:5),True,True,1.272843966924312,18.0,two-sided,0.21926873778742498,0.43853747557484996,fdr_bh,0.479,0.28118892110749005,-0.24482298653097903,0.6065826209362265
condition,Ratio 0.67 (2:3),Ratio 0.83 (5:6),True,True,2.0518325953709655,18.0,two-sided,0.05502466964914087,0.27512334824570434,fdr_bh,1.314,0.38679538720676354,-0.03726022969329579,0.9787055909864348
condition,Ratio 0.75 (3:4),Ratio 0.8 (4:5),True,True,0.9715544736421078,18.0,two-sided,0.34414786126278185,0.4916398018039741,fdr_bh,0.36,0.18835128256628136,-0.3656327208401214,0.47957824509569563
condition,Ratio 0.75 (3:4),Ratio 0.83 (5:6),True,True,1.120366495645137,18.0,two-sided,0.27728409369059703,0.4621401561509951,fdr_bh,0.411,0.28506787035179365,-0.2328506851314791,0.7469100887363163
condition,Ratio 0.8 (4:5),Ratio 0.83 (5:6),True,True,0.3624708529329572,18.0,two-sided,0.721221162161736,0.7401374674715899,fdr_bh,0.252,0.08561202510137653,-0.3996605675360051,0.5659736010006108
