Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,Ratio 0.5 (1:2),Ratio 0.67 (2:3),True,True,-0.4536383816989941,18.0,two-sided,0.6555107320785427,0.8193884150981784,fdr_bh,0.261,-0.09470569403862909,-0.43336101825219886,0.41119085798382016
condition,Ratio 0.5 (1:2),Ratio 0.75 (3:4),True,True,0.5606928244752326,18.0,two-sided,0.5819197924602958,0.8193884150981784,fdr_bh,0.273,0.1334474817246466,-0.37678218751223275,0.46818459969663945
condition,Ratio 0.5 (1:2),Ratio 0.8 (4:5),True,True,-0.2126643615025008,18.0,two-sided,0.8339785822563535,0.8339785822563535,fdr_bh,0.242,-0.03380056703222015,-0.38498899307122403,0.4598325545484365
condition,Ratio 0.5 (1:2),Ratio 0.83 (5:6),True,True,-0.7314130399200134,18.0,two-sided,0.47394204051151523,0.8193884150981784,fdr_bh,0.301,-0.18490401487207037,-0.6531630696473669,0.3175677510158702
condition,Ratio 0.67 (2:3),Ratio 0.75 (3:4),True,True,1.562964216755183,18.0,two-sided,0.13547111895075514,0.8193884150981784,fdr_bh,0.669,0.20916691788967315,-0.35121607220581097,0.49439117037027136
condition,Ratio 0.67 (2:3),Ratio 0.8 (4:5),True,True,0.24465556354300605,18.0,two-sided,0.8094904012246841,0.8339785822563535,fdr_bh,0.244,0.05175229859704219,-0.38619375026206315,0.45860892856285596
condition,Ratio 0.67 (2:3),Ratio 0.83 (5:6),True,True,-0.5209676545583742,18.0,two-sided,0.6087394136316606,0.8193884150981784,fdr_bh,0.268,-0.0904097817910722,-0.6032209245380091,0.3641845709513397
condition,Ratio 0.75 (3:4),Ratio 0.8 (4:5),True,True,-0.5689197876420209,18.0,two-sided,0.5764411785300936,0.8193884150981784,fdr_bh,0.275,-0.14762764450900415,-0.4370795648761082,0.4074925724721855
condition,Ratio 0.75 (3:4),Ratio 0.83 (5:6),True,True,-1.3286549563354457,18.0,two-sided,0.2005610191126091,0.8193884150981784,fdr_bh,0.508,-0.28624214599721887,-0.7978673466340584,0.18823864289714742
condition,Ratio 0.8 (4:5),Ratio 0.83 (5:6),True,True,-0.6301023999606665,18.0,two-sided,0.5365452870063909,0.8193884150981784,fdr_bh,0.284,-0.13565018321241204,-0.6290513527442672,0.33994054374311
