Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,"Ratio 0.5 (1:2, no 1)","Ratio 0.67 (2:3, no 1)",True,True,-4.640787653084016,1.0,two-sided,0.13511334152956098,0.8295494646932093,fdr_bh,1.61,-1.2849393067717805,-0.9238139063660105,0.3709718057848
condition,"Ratio 0.5 (1:2, no 1)","Ratio 0.75 (3:4, no 1)",True,True,0.22576333504344762,1.0,two-sided,0.858644387587137,0.858644387587137,fdr_bh,0.537,0.1578911852979801,-0.5744298305139488,1.1295060885971142
condition,"Ratio 0.5 (1:2, no 1)","Ratio 0.8 (4:5, no 1)",True,True,0.44699345623589043,1.0,two-sided,0.7323963242864331,0.8295494646932093,fdr_bh,0.574,0.3786632940455103,-0.06251106740750345,1.5552230753099487
condition,"Ratio 0.5 (1:2, no 1)","Ratio 0.83 (5:6, no 1)",True,True,-1.5520147660315713,1.0,two-sided,0.3643849513343381,0.8295494646932093,fdr_bh,0.908,-0.6189917625225337,-1.2174119757594095,0.5066191016320231
condition,"Ratio 0.67 (2:3, no 1)","Ratio 0.75 (3:4, no 1)",True,True,1.3596990070931334,1.0,two-sided,0.4036986529651192,0.8295494646932093,fdr_bh,0.846,0.7395537982543774,-0.44407462074948645,1.01555012179898
condition,"Ratio 0.67 (2:3, no 1)","Ratio 0.8 (4:5, no 1)",True,True,0.9135863406744485,1.0,two-sided,0.5287289337087475,0.8295494646932093,fdr_bh,0.703,0.7000926961995555,-0.1630876174923097,1.2818134110597648
condition,"Ratio 0.67 (2:3, no 1)","Ratio 0.83 (5:6, no 1)",True,True,1.6891156504189573,1.0,two-sided,0.3402958467236087,0.8295494646932093,fdr_bh,0.95,1.0094060375449154,-0.47759120250775094,1.0960691292303015
condition,"Ratio 0.75 (3:4, no 1)","Ratio 0.8 (4:5, no 1)",True,True,0.6240388684792726,1.0,two-sided,0.6448248213371023,0.8295494646932093,fdr_bh,0.617,0.2627249826272918,-0.07578193311541104,1.5338468837336972
condition,"Ratio 0.75 (3:4, no 1)","Ratio 0.83 (5:6, no 1)",True,True,-0.42049465586184703,1.0,two-sided,0.7465945182238884,0.8295494646932093,fdr_bh,0.569,-0.3535107505395114,-1.2915766542598188,1.1932514170933324
condition,"Ratio 0.8 (4:5, no 1)","Ratio 0.83 (5:6, no 1)",True,True,-0.5255224923601103,1.0,two-sided,0.6919673783437303,0.8295494646932093,fdr_bh,0.592,-0.482706763952606,-0.8227593099810995,0.7156781158533612
