Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,"Ratio 0.5 (1:2, no 1)","Ratio 0.67 (2:3, no 1)",True,True,-0.6466697906828632,23.0,two-sided,0.524247125578425,0.8063090087159902,fdr_bh,0.26,-0.12260782902638025,-0.5560992989300517,0.2920974623891487
condition,"Ratio 0.5 (1:2, no 1)","Ratio 0.75 (3:4, no 1)",True,True,0.5104259617590962,23.0,two-sided,0.6146171932752584,0.8063090087159902,fdr_bh,0.242,0.09992356598264747,-0.3192171331411991,0.5275976594377232
condition,"Ratio 0.5 (1:2, no 1)","Ratio 0.8 (4:5, no 1)",True,True,-0.791491720720357,23.0,two-sided,0.4367440680048762,0.8063090087159902,fdr_bh,0.285,-0.1378402429066692,-0.586572130903535,0.2634469890031479
condition,"Ratio 0.5 (1:2, no 1)","Ratio 0.83 (5:6, no 1)",True,True,0.4667821362403975,23.0,two-sided,0.6450472069727922,0.8063090087159902,fdr_bh,0.237,0.09893887122025564,-0.3279387622596418,0.518501771398854
condition,"Ratio 0.67 (2:3, no 1)","Ratio 0.75 (3:4, no 1)",True,True,0.9303923151182538,23.0,two-sided,0.36183129628357724,0.8063090087159902,fdr_bh,0.317,0.22795679207134822,-0.23613795303870858,0.6159690251464515
condition,"Ratio 0.67 (2:3, no 1)","Ratio 0.8 (4:5, no 1)",True,True,-0.10748015597157706,23.0,two-sided,0.9153401376615014,1.0,fdr_bh,0.216,-0.020396901041590865,-0.4442530706541859,0.4003744807200002
condition,"Ratio 0.67 (2:3, no 1)","Ratio 0.83 (5:6, no 1)",True,True,1.3680473176571872,23.0,two-sided,0.1845153917452725,0.8063090087159902,fdr_bh,0.49,0.22554395103084346,-0.15116492370454382,0.7096679024117638
condition,"Ratio 0.75 (3:4, no 1)","Ratio 0.8 (4:5, no 1)",True,True,-1.0224747162910903,23.0,two-sided,0.317191103276417,0.8063090087159902,fdr_bh,0.343,-0.23939291990296574,-0.6355484814749449,0.21812492650658397
condition,"Ratio 0.75 (3:4, no 1)","Ratio 0.83 (5:6, no 1)",True,True,0.0,23.0,two-sided,1.0,1.0,fdr_bh,0.215,0.0,-0.42226296650431666,0.42226296650431666
condition,"Ratio 0.8 (4:5, no 1)","Ratio 0.83 (5:6, no 1)",True,True,1.905670209498071,23.0,two-sided,0.06926782247191135,0.6926782247191134,fdr_bh,1.009,0.23704203230953202,-0.048952208197560965,0.82693881341306
