Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen,ci_lower,ci_upper
condition,"Ratio 0.5 (1:2, no 1)","Ratio 0.67 (2:3, no 1)",True,True,0.615861958215471,9.0,two-sided,0.553239839631773,0.9774663040189553,fdr_bh,0.363,0.06070586223843235,-0.5098335861123902,0.48478202561491146
condition,"Ratio 0.5 (1:2, no 1)","Ratio 0.75 (3:4, no 1)",True,True,0.5085466958623808,9.0,two-sided,0.6233010484727688,0.9774663040189553,fdr_bh,0.345,0.1219990624133827,-0.546270070244799,0.4822980258401769
condition,"Ratio 0.5 (1:2, no 1)","Ratio 0.8 (4:5, no 1)",True,True,0.14342114368957815,9.0,two-sided,0.8891174227288219,0.9774663040189553,fdr_bh,0.312,0.04765829060057081,-0.5171498692978105,0.5486409556237222
condition,"Ratio 0.5 (1:2, no 1)","Ratio 0.83 (5:6, no 1)",True,True,2.445492523530959,9.0,two-sided,0.03702950773170818,0.14367711957612658,fdr_bh,2.216,1.0751276874935418,0.037549018133667844,1.5870314512835129
condition,"Ratio 0.67 (2:3, no 1)","Ratio 0.75 (3:4, no 1)",True,True,0.2666821627584685,9.0,two-sided,0.7957235243015437,0.9774663040189553,fdr_bh,0.318,0.06706939224239451,-0.5381412425146692,0.5275909442728359
condition,"Ratio 0.67 (2:3, no 1)","Ratio 0.8 (4:5, no 1)",True,True,-0.029040190161003843,9.0,two-sided,0.9774663040189553,0.9774663040189553,fdr_bh,0.309,-0.009902832279603103,-0.48999480025624575,0.6187146261383769
condition,"Ratio 0.67 (2:3, no 1)","Ratio 0.83 (5:6, no 1)",True,True,2.3528532140074048,9.0,two-sided,0.04310313587283797,0.14367711957612658,fdr_bh,1.973,1.0149209428892594,0.03302484665368155,1.5797129970554116
condition,"Ratio 0.75 (3:4, no 1)","Ratio 0.8 (4:5, no 1)",True,True,-0.19507010999399702,9.0,two-sided,0.8496707040468836,0.9774663040189553,fdr_bh,0.314,-0.07325870414932419,-0.5185200508888983,0.6372627461145006
condition,"Ratio 0.75 (3:4, no 1)","Ratio 0.83 (5:6, no 1)",True,True,1.6873697909980934,9.0,two-sided,0.1258054069773111,0.3145135174432777,fdr_bh,0.896,0.8603670620279796,-0.08863328967707629,1.2924058592550591
condition,"Ratio 0.8 (4:5, no 1)","Ratio 0.83 (5:6, no 1)",True,True,4.157068544374076,9.0,two-sided,0.002458402697986202,0.02458402697986202,fdr_bh,19.392,0.9772018281355268,0.33789929982015654,2.2912616981124083
